burnin	compound_weighting	data_transform	imputation_method	impute_labels	impute_seed	lambda_beta	model_suffix	multitask_strategy	nsamples	num_latent	percent_to_delete	precision	prediction_mode	read_parameters	remove_labels	remove_seed	remove_type	seed	shuffle_labels	shuffle_seed	sn_max	target_weighting	tol	univariate	Time	1814_precision_Train	1814_precision_Test	1814_recall_Train	1814_recall_Test	1814_fscore_Train	1814_fscore_Test	1814_mcc_Train	1814_mcc_Test	2314_precision_Train	2314_precision_Test	2314_recall_Train	2314_recall_Test	2314_fscore_Train	2314_fscore_Test	2314_mcc_Train	2314_mcc_Test	485346_precision_Train	485346_precision_Test	485346_recall_Train	485346_recall_Test	485346_fscore_Train	485346_fscore_Test	485346_mcc_Train	485346_mcc_Test	504652_precision_Train	504652_precision_Test	504652_recall_Train	504652_recall_Test	504652_fscore_Train	504652_fscore_Test	504652_mcc_Train	504652_mcc_Test	743279_precision_Train	743279_precision_Test	743279_recall_Train	743279_recall_Test	743279_fscore_Train	743279_fscore_Test	743279_mcc_Train	743279_mcc_Test
416	True	None	mean	False	1234	5.0	0	all	2455	69	0.0	adaptive	classification	True	True	1234	cells	123456	False	1234	10.0	True	1e-06	0	23602.579893827442	1.0	0.619722848856	1.0	0.446482470397	1.0	0.5190283400810001	1.0	0.33115590384300003	1.0	0.751524018532	1.0	0.856944251355	1.0	0.800779473855	1.0	0.48748461532700005	1.0	0.793939393939	0.999794196337	0.08111455108360001	0.999897087578	0.147191011236	0.9998816746160001	0.229061237608	1.0	0.6119402985069999	0.998699851412	0.023509174311900003	0.999349502834	0.0452788514633	0.999240085792	0.09996868216430001	1.0	0.674825174825	1.0	0.212010252655	1.0	0.322652549457	1.0	0.29929298095400003
416	True	None	mean	False	1234	5.0	1	all	2455	69	0.1	adaptive	classification	True	True	1234	cells	123456	False	1234	10.0	True	1e-06	0	23235.3899679184	1.0	0.620936280884	1.0	0.44346412816299996	1.0	0.517404848977	1.0	0.330698120657	1.0	0.751005484461	1.0	0.8566662032529999	1.0	0.8003636835950001	1.0	0.48628322706	1.0	0.785714285714	1.0	0.08173374612999999	1.0	0.14806505889000002	1.0	0.228299054277	1.0	0.605633802817	0.999793856937	0.0246559633028	0.999896917844	0.047382920110200004	0.999879498947	0.10154989957699999	1.0	0.6778443113770001	1.0	0.207250091542	1.0	0.31744251261900003	1.0	0.296918009579
416	True	None	mean	False	1234	5.0	2	all	2455	69	0.2	adaptive	classification	True	True	1234	cells	123456	False	1234	10.0	True	1e-06	0	22815.73427128792	1.0	0.619474908608	1.0	0.43278384026	1.0	0.5095680699840001	1.0	0.32417583291499996	1.0	0.7500607828839999	1.0	0.857778395662	1.0	0.800311304235	1.0	0.485443363878	1.0	0.797202797203	0.999739379724	0.07058823529410001	0.999869672879	0.129692832765	0.999850455141	0.214100502911	1.0	0.638888888889	0.998616874136	0.026376146789	0.999307958478	0.0506607929515	0.99919095624	0.109575433323	1.0	0.6695018226	1.0	0.201757597949	1.0	0.31007315700599997	1.0	0.28925908258099997
416	True	None	mean	False	1234	5.0	3	all	2455	69	0.3	adaptive	classification	True	True	1234	cells	123456	False	1234	10.0	True	1e-06	0	22421.904613018043	1.0	0.620032840722	1.0	0.438356164384	1.0	0.513601741023	1.0	0.327402114641	1.0	0.750822869682	1.0	0.8562491311	1.0	0.800077942323	1.0	0.485593613016	1.0	0.786206896552	1.0	0.07058823529410001	1.0	0.12954545454500002	1.0	0.212057007812	1.0	0.626865671642	1.0	0.0240825688073	1.0	0.0463832136941	1.0	0.103132372104	1.0	0.669512195122	1.0	0.201025265471	1.0	0.309208673613	1.0	0.288700745926
416	True	None	mean	False	1234	5.0	4	all	2455	69	0.4	adaptive	classification	True	True	1234	cells	123456	False	1234	10.0	True	1e-06	0	22075.76773405075	1.0	0.622978436658	1.0	0.429301137683	1.0	0.508316151203	1.0	0.325384998192	1.0	0.7507313505609999	1.0	0.8562491311	1.0	0.800025979087	1.0	0.485422396341	1.0	0.815384615385	1.0	0.0656346749226	1.0	0.121489971347	1.0	0.20958834257800002	1.0	0.5806451612899999	1.0	0.020642201834900002	1.0	0.039867109634599995	1.0	0.08976681369539999	1.0	0.6832460732979999	1.0	0.191138777005	1.0	0.298712446352	1.0	0.286487169469
416	True	None	mean	False	1234	5.0	5	all	2455	69	0.5	adaptive	classification	True	True	1234	cells	123456	False	1234	10.0	True	1e-06	0	21741.317354440693	1.0	0.621621621622	1.0	0.42721151613700004	1.0	0.506398789046	1.0	0.323214722407	1.0	0.747595275782	1.0	0.853607674128	1.0	0.797092042062	1.0	0.47734192508999995	1.0	0.78	0.9995939910680001	0.07244582043339999	0.999796954315	0.13257790368300001	0.9997663152399999	0.21368577853100001	1.0	0.566037735849	0.9980761831470001	0.0172018348624	0.999037165415	0.0333889816361	0.998880997788	0.0802136488547	1.0	0.651860744298	1.0	0.198828268034	1.0	0.304713804714	1.0	0.27971758206
416	True	None	mean	False	1234	5.0	6	all	2455	69	0.6	adaptive	classification	True	True	1234	cells	123456	False	1234	10.0	True	1e-06	0	20328.988302469254	1.0	0.60929144385	1.0	0.423264453216	1.0	0.499520482258	1.0	0.310917779929	1.0	0.745328803688	1.0	0.8540247462809999	1.0	0.795983155167	1.0	0.473396909621	1.0	0.755395683453	1.0	0.0650154798762	1.0	0.119726339795	1.0	0.197827243363	1.0	0.614035087719	1.0	0.020068807339400002	1.0	0.03886729594669999	1.0	0.0925791360447	1.0	0.64406779661	1.0	0.194800439399	1.0	0.299128479055	1.0	0.273434199667
416	True	None	mean	False	1234	5.0	7	all	2455	69	0.7	adaptive	classification	True	True	1234	cells	123456	False	1234	10.0	True	1e-06	0	19854.57044100761	1.0	0.614639037433	1.0	0.42697933596500004	1.0	0.503904644472	1.0	0.317245386525	1.0	0.7443957115009999	1.0	0.8494369525929999	1.0	0.793454970456	1.0	0.467877741373	1.0	0.773913043478	1.0	0.0551083591331	1.0	0.10289017341	1.0	0.185086648865	1.0	0.577777777778	1.0	0.0149082568807	1.0	0.029066517607599998	1.0	0.07592601211510001	1.0	0.647831800263	1.0	0.18051995606	1.0	0.282359679267	1.0	0.26404466263
416	True	None	mean	False	1234	5.0	8	all	2455	69	0.8	adaptive	classification	True	True	1234	cells	123456	False	1234	10.0	True	1e-06	0	20914.57439661026	1.0	0.6048413477269999	1.0	0.429301137683	1.0	0.502172732211	1.0	0.310023928395	1.0	0.7446183953030001	1.0	0.846378423467	1.0	0.79224412779	1.0	0.46583005242200004	1.0	0.7090909090909999	1.0	0.0482972136223	1.0	0.0904347826087	1.0	0.162764078256	1.0	0.568181818182	1.0	0.0143348623853	1.0	0.0279642058166	1.0	0.0734278131531	1.0	0.64427480916	1.0	0.154522153057	1.0	0.249261665682	1.0	0.24183458331500002
416	True	None	mean	False	1234	5.0	9	all	2455	69	0.9	adaptive	classification	True	True	1234	cells	123456	False	1234	10.0	True	1e-06	0	20776.190699338917	1.0	0.6031284103310001	1.0	0.38495472486599996	1.0	0.469954648526	1.0	0.28735835071800003	1.0	0.740414443479	1.0	0.8295565132770001	1.0	0.7824547600309999	1.0	0.444689663887	1.0	0.7555555555560001	1.0	0.021052631578900003	1.0	0.040963855421699995	1.0	0.11216088332100001	1.0	0.540540540541	1.0	0.0114678899083	1.0	0.022459292532299998	1.0	0.062966343335	1.0	0.625212947189	1.0	0.13438300988600002	1.0	0.221217600964	1.0	0.21802959474599998
