activation	batch_size	compound_weighting	concurrent_perm	data_transform	dropout	imputation_method	impute_labels	impute_seed	learning_rate	model_suffix	multitask_strategy	num_layers	num_neurons	num_steps	optimizer	percent_to_delete	prediction_mode	read_parameters	remove_labels	remove_seed	remove_type	restore_network	seed	shuffle_labels	shuffle_seed	target_weighting	Time	1814_precision_Train	1814_precision_Test	1814_recall_Train	1814_recall_Test	1814_fscore_Train	1814_fscore_Test	1814_mcc_Train	1814_mcc_Test	2314_precision_Train	2314_precision_Test	2314_recall_Train	2314_recall_Test	2314_fscore_Train	2314_fscore_Test	2314_mcc_Train	2314_mcc_Test	485346_precision_Train	485346_precision_Test	485346_recall_Train	485346_recall_Test	485346_fscore_Train	485346_fscore_Test	485346_mcc_Train	485346_mcc_Test	504652_precision_Train	504652_precision_Test	504652_recall_Train	504652_recall_Test	504652_fscore_Train	504652_fscore_Test	504652_mcc_Train	504652_mcc_Test	743279_precision_Train	743279_precision_Test	743279_recall_Train	743279_recall_Test	743279_fscore_Train	743279_fscore_Test	743279_mcc_Train	743279_mcc_Test
relu	256	True	1	None	0.15746118786647662	mean	False	1234	0.05	0	all	5	5321	166172	Adagrad	0.0	classification	True	True	123456	cells	False	123456	False	1234	True	6553.666257858276	0.999394352336	0.619940544249	0.999470018171	0.625952435927	0.999432183821	0.622931985294	0.999120665529	0.419781343486	0.999626133283	0.7893760763009999	0.999719573752	0.8285595105670001	0.999672851334	0.808493317957	0.999232245526	0.5307987820560001	0.9987538940809999	0.606382978723	0.998546511628	0.446924004825	0.998650192088	0.514583333333	0.9984500051530001	0.459361352474	0.998681980795	0.41526845637599996	0.998681980795	0.2724270776	0.998681980795	0.32901296111699996	0.9984630460680001	0.24805694201099998	0.999030420555	0.5973413379070001	0.9984253875970001	0.519194931047	0.9987278124429999	0.555533399801	0.9983661994609999	0.44560194041699996
relu	256	True	1	None	0.15746118786647662	mean	False	1234	0.05	1	all	5	5321	166172	Adagrad	0.1	classification	True	True	123456	cells	False	123456	False	1234	True	6494.060346603394	0.999747027574	0.617208672087	0.999578450384	0.6310320942050001	0.9996627318719999	0.624043840621	0.999477435113	0.41959704616800003	0.99979240191	0.791277258567	0.999844293351	0.8122914349279999	0.999818346957	0.8016466552320001	0.999573242194	0.5208810114410001	0.99953714418	0.6116338751070001	0.998612716763	0.431242460796	0.9990747166320001	0.505836575875	0.998938394547	0.453206779173	0.998533417138	0.42327150084299997	0.998324256389	0.276279581728	0.9984288258089999	0.334332334332	0.99816832161	0.25472308625	0.999058633674	0.623098859316	0.9985215053759999	0.488632128215	0.9987899973109999	0.547733444746	0.998444155952	0.446820584017
relu	256	True	1	None	0.15746118786647662	mean	False	1234	0.05	2	all	5	5321	166172	Adagrad	0.2	classification	True	True	123456	cells	False	123456	False	1234	True	6494.409245491028	0.999809867858	0.608600742196	0.999809867858	0.643731239898	0.999809867858	0.625673249551	0.999705429216	0.417122376493	0.999941578548	0.7965750586939999	0.9998831639210001	0.8020022246940001	0.999912370381	0.799279429086	0.999793112175	0.521414462671	0.999739039666	0.631578947368	0.997916123991	0.376357056695	0.998826750098	0.471655328798	0.9986545494750001	0.43057594964400003	0.999291282778	0.403100775194	0.9990552668870001	0.286186020914	0.9991732608949999	0.334728033473	0.9990362223799999	0.24746487590799998	0.999546279492	0.589478223372	0.998640072529	0.5095042862470001	0.9990929705220001	0.546581367453	0.9988328709020001	0.434919001398
relu	256	True	1	None	0.15746118786647662	mean	False	1234	0.05	3	all	5	5321	166172	Adagrad	0.3	classification	True	True	123456	cells	False	123456	False	1234	True	6508.145483255385	0.999891692841	0.623315027459	0.999458698712	0.5765412145000001	0.99967514889	0.5990164327699999	0.999496058063	0.397814084045	0.999933422104	0.785256410256	1.0	0.817575083426	0.9999667099439999	0.801089918256	0.999921367731	0.515105578533	0.999105812221	0.584615384615	0.998213222156	0.41254523522299996	0.9986593177420001	0.483734087694	0.9984620502889999	0.42780420293399996	0.9989218328839999	0.43701550387599997	0.998652654271	0.24821133736900003	0.998787225441	0.316602316602	0.9985860710019999	0.247706057982	0.999476896251	0.5998121183649999	0.998606271777	0.47595974655199996	0.9990413943359999	0.530756442228	0.998768848352	0.42427946503499997
relu	256	True	1	None	0.15746118786647662	mean	False	1234	0.05	4	all	5	5321	166172	Adagrad	0.4	classification	True	True	123456	cells	False	123456	False	1234	True	6485.3381605148315	1.0	0.611767542802	0.999873529784	0.585776956823	0.9999367608930001	0.598490209955	0.999901884825	0.39103637139700004	0.9999222818060001	0.791097760786	1.0	0.805617352614	0.999961139393	0.798291540369	0.999908163478	0.5153535036460001	0.998960138648	0.579735682819	1.0	0.396863691194	0.999479798856	0.471177944862	0.999403174031	0.416153736548	0.999687792694	0.40350877193	0.9993757802750001	0.24050632911400002	0.999531762135	0.301379310345	0.999453279638	0.22502138982099998	0.999388877572	0.582188746123	0.999388877572	0.489750279538	0.999388877572	0.531983805668	0.999214782864	0.419410207884
relu	256	True	1	None	0.15746118786647662	mean	False	1234	0.05	5	all	5	5321	166172	Adagrad	0.5	classification	True	True	123456	cells	False	123456	False	1234	True	6388.529828071594	0.9996973365620001	0.608242539081	0.999546073536	0.592934657123	0.999621699327	0.60049105577	0.9994142975489999	0.391049127474	1.0	0.791091679191	0.999906707715	0.805061179088	0.9999533516820001	0.798015298739	0.9998913343889999	0.5149107153410001	0.998748957465	0.5656565656570001	0.9995826377299999	0.37153196622400003	0.9991656236959999	0.448489261012	0.9990422815019999	0.39397370356899997	0.999245852187	0.40413943355099996	0.999245852187	0.20418271876699998	0.999245852187	0.271297989031	0.9991205467550001	0.206185864327	0.999281609195	0.569359086918	1.0	0.48341408870700003	0.9996406755299999	0.522878451925	0.999538200539	0.40702011456799997
relu	256	True	1	None	0.15746118786647662	mean	False	1234	0.05	6	all	5	5321	166172	Adagrad	0.6	classification	True	True	123456	cells	False	123456	False	1234	True	6405.969274520874	0.999434175783	0.602941176471	0.999622712696	0.558531516971	0.999528435348	0.579887330696	0.999271811961	0.368732955858	1.0	0.781958972966	1.0	0.8003337041159999	1.0	0.791039648183	1.0	0.496230820715	0.9989664082690001	0.558380414313	0.9994829369179999	0.357659831122	0.9992246058409999	0.436029411765	0.999108689995	0.38205554515100004	1.0	0.393039918117	1.0	0.21133736929000002	1.0	0.274874731568	1.0	0.204079352566	0.999701224978	0.565813528336	0.999701224978	0.461423779351	0.999701224978	0.508314514473	0.9996164504780001	0.393158714142
relu	256	True	1	None	0.15746118786647662	mean	False	1234	0.05	7	all	5	5321	166172	Adagrad	0.7	classification	True	True	123456	cells	False	123456	False	1234	True	6403.686770677567	0.9997482376639999	0.583180147059	1.0	0.586007850381	0.999874102984	0.5845905792930001	0.99980592295	0.361596627134	1.0	0.776347873205	1.0	0.796857619577	1.0	0.786469054481	1.0	0.484227719619	0.999314128944	0.527536231884	0.999314128944	0.329312424608	0.999314128944	0.40549572967	0.9992107484	0.349379062425	1.0	0.402452619844	1.0	0.198679141442	1.0	0.266028002948	1.0	0.20229663458799998	1.0	0.541064981949	0.9996025437200001	0.446887812151	0.999801232359	0.489487650541	0.999744847424	0.368188210299
relu	256	True	1	None	0.15746118786647662	mean	False	1234	0.05	8	all	5	5321	166172	Adagrad	0.8	classification	True	True	123456	cells	False	123456	False	1234	True	6393.363678216933	0.9996282527879999	0.577568134172	1.0	0.508889401986	0.9998140918389999	0.541058058181	0.9997126206010001	0.320053147335	1.0	0.764181091877	1.0	0.79796996663	1.0	0.7807101074680001	1.0	0.464275763453	1.0	0.5181623931620001	0.998976458547	0.292521109771	0.9994879672299999	0.373939861218	0.9994102898280001	0.322947812804	1.0	0.35796766743600006	1.0	0.17061089708299998	1.0	0.231084606783	1.0	0.164045078865	1.0	0.52598348713	1.0	0.403652627656	1.0	0.456769295656	1.0	0.335874886034
relu	256	True	1	None	0.15746118786647662	mean	False	1234	0.05	9	all	5	5321	166172	Adagrad	0.9	classification	True	True	123456	cells	False	123456	False	1234	True	6402.756449222565	1.0	0.558264887064	1.0	0.502193488802	1.0	0.5287468092859999	1.0	0.297528770033	1.0	0.753736367308	1.0	0.778364849833	1.0	0.7658526575010001	1.0	0.43208124376100004	1.0	0.482905982906	1.0	0.27261761158000003	1.0	0.348496530455	1.0	0.29335575108399997	1.0	0.34742857142899997	1.0	0.167308750688	1.0	0.22585438335799998	1.0	0.156750305039	1.0	0.5086342229199999	1.0	0.36228102869900003	1.0	0.423160644319	1.0	0.303319385653
