activation	batch_size	compound_weighting	concurrent_perm	data_transform	dropout	imputation_method	impute_labels	impute_seed	learning_rate	model_suffix	multitask_strategy	num_layers	num_neurons	num_steps	optimizer	percent_to_delete	prediction_mode	read_parameters	remove_labels	remove_seed	remove_type	restore_network	seed	shuffle_labels	shuffle_seed	target_weighting	Time	1814_precision_Train	1814_precision_Test	1814_recall_Train	1814_recall_Test	1814_fscore_Train	1814_fscore_Test	1814_mcc_Train	1814_mcc_Test	2314_precision_Train	2314_precision_Test	2314_recall_Train	2314_recall_Test	2314_fscore_Train	2314_fscore_Test	2314_mcc_Train	2314_mcc_Test	485346_precision_Train	485346_precision_Test	485346_recall_Train	485346_recall_Test	485346_fscore_Train	485346_fscore_Test	485346_mcc_Train	485346_mcc_Test	504652_precision_Train	504652_precision_Test	504652_recall_Train	504652_recall_Test	504652_fscore_Train	504652_fscore_Test	504652_mcc_Train	504652_mcc_Test	743279_precision_Train	743279_precision_Test	743279_recall_Train	743279_recall_Test	743279_fscore_Train	743279_fscore_Test	743279_mcc_Train	743279_mcc_Test
relu	256	True	1	None	0.15746118786647662	mean	False	1234	0.05	0	all	5	5321	166172	Adagrad	0.0	classification	True	True	234567	cells	False	123456	False	1234	True	6419.8117871284485	0.9996193666259999	0.629168623767	0.9997715851989999	0.608172531215	0.9996954701180001	0.618492439109	0.999529838696	0.41464791001199997	0.999673461772	0.784108729744	0.999720097033	0.838926174497	0.999696778858	0.810591731964	0.999286621032	0.5343430839419999	0.9995875438230001	0.613309352518	0.99876365135	0.420727945713	0.999175427747	0.49908525429899997	0.999052208805	0.44947513052500004	0.998692322062	0.42608695652199996	0.999626028422	0.275280898876	0.9991589571070001	0.33447098976100004	0.999018187955	0.25785625183899996	0.999269628728	0.611850579648	0.998904843028	0.523704520397	0.9990872025799998	0.5643564356440001	0.99882920985	0.456292223515
relu	256	True	1	None	0.15746118786647662	mean	False	1234	0.05	1	all	5	5321	166172	Adagrad	0.1	classification	True	True	234567	cells	False	123456	False	1234	True	6332.7974553108215	0.999575947757	0.627450980392	0.999660729432	0.581157775255	0.9996183367970001	0.603417796111	0.999411142307	0.399028191846	0.9996372681110001	0.787158145065	0.9997408789390001	0.833053691275	0.9996890708399999	0.8094558793559999	0.999268880769	0.5345788986309999	0.999317406143	0.583333333333	0.999090081893	0.431832202344	0.999203731089	0.496277915633	0.999083545282	0.439649357852	0.9995846313600001	0.45137420718800003	0.999377076412	0.239887640449	0.999480843111	0.313279530448	0.999393807649	0.252503259274	0.999456669383	0.590177133655	0.999049558724	0.538772510107	0.999253072588	0.5633045148899999	0.9990431949690001	0.44869493324500004
relu	256	True	1	None	0.15746118786647662	mean	False	1234	0.05	2	all	5	5321	166172	Adagrad	0.2	classification	True	True	234567	cells	False	123456	False	1234	True	6336.3763711452475	0.9992352547560001	0.601126028584	0.999904342835	0.630192962543	0.999569686828	0.61531641361	0.999337002963	0.396582352882	0.999708301733	0.793251279214	0.999824960616	0.802013422819	0.999766627771	0.797608287562	0.999452369385	0.519772572422	0.999490964622	0.590986394558	0.998982447214	0.42874768661300006	0.999236641221	0.496961029675	0.9991208361299999	0.44211272523100004	0.999533255543	0.431481481481	0.999533255543	0.26179775280900003	0.999533255543	0.325874125874	0.9994549531389999	0.253864124595	0.999846625767	0.608895002293	0.9992335990189999	0.48805586181599997	0.999540018399	0.541819665443	0.9994109354709999	0.435059038295
relu	256	True	1	None	0.15746118786647662	mean	False	1234	0.05	3	all	5	5321	166172	Adagrad	0.3	classification	True	True	234567	cells	False	123456	False	1234	True	6336.5922462940225	0.999671880127	0.633502267271	0.99978122949	0.539160045403	0.999726551818	0.582536178563	0.9995790322750001	0.383449928999	0.999799933311	0.785887749595	0.999799933311	0.814457494407	0.999799933311	0.799917605054	0.999530391532	0.517538541555	0.9991311902689999	0.5652173913040001	0.9988419224089999	0.409006785935	0.9989865353990001	0.47458840372199995	0.998832088704	0.416787914174	0.9994685091680001	0.40833333333300004	0.998937583001	0.22022471910100003	0.9992029755580001	0.286131386861	0.999069488512	0.21897115519000002	0.999121728438	0.563147792706	0.9994728518709999	0.539140022051	0.999297259311	0.550882463387	0.999100453564	0.428655356322
relu	256	True	1	None	0.15746118786647662	mean	False	1234	0.05	4	all	5	5321	166172	Adagrad	0.4	classification	True	True	234567	cells	False	123456	False	1234	True	6338.927709102631	1.0	0.617538688283	1.0	0.570715096481	1.0	0.593204341671	1.0	0.38391075551799997	0.999532783056	0.7806468787440001	0.9999221001790001	0.82005033557	0.999727403715	0.799863620866	0.999360612465	0.513270185958	0.999324780554	0.580909090909	0.9983136593590001	0.394201110426	0.998818964063	0.46968026460900003	0.9986392547499999	0.416827231253	0.999690785405	0.417346938776	0.998764287921	0.22977528089899998	0.9992273218979999	0.29637681159400003	0.999097796948	0.228961848615	0.999589490969	0.589875589876	1.0	0.50532892319	0.9997947033460001	0.544338875693	0.9997374049529999	0.431001047964
relu	256	True	1	None	0.15746118786647662	mean	False	1234	0.05	5	all	5	5321	166172	Adagrad	0.5	classification	True	True	234567	cells	False	123456	False	1234	True	6342.418912887573	0.9998487140700001	0.599485620762	0.9998487140700001	0.582065834279	0.9998487140700001	0.5906473162870001	0.9997646027060001	0.37110772009000004	1.0	0.776619606808	0.9998143162190001	0.822986577181	0.999907149489	0.7991310841079999	0.9997791820640001	0.508830218807	1.0	0.592938733126	0.9995857497930001	0.352251696484	0.999792831987	0.441950464396	0.999762114703	0.39802263725000003	0.999627004849	0.403125	0.999627004849	0.217415730337	0.999627004849	0.282481751825	0.999564060303	0.214669422847	0.999279884782	0.574321413184	1.0	0.489893421536	0.9996398127030001	0.528758429195	0.99953667471	0.411838438083
relu	256	True	1	None	0.15746118786647662	mean	False	1234	0.05	6	all	5	5321	166172	Adagrad	0.6	classification	True	True	234567	cells	False	123456	False	1234	True	6335.847815275191	0.9998106060609999	0.603178425235	0.9998106060609999	0.568671963678	0.9998106060609999	0.585417153541	0.9997058940189999	0.368407446792	1.0	0.775537454934	1.0	0.8120805369130001	1.0	0.793388429752	1.0	0.498475705914	1.0	0.56007751938	0.9994703389830001	0.356570018507	0.999735099338	0.43573313230300004	0.9996966112029999	0.383917761946	1.0	0.408366533865	1.0	0.230337078652	1.0	0.294540229885	1.0	0.224391914511	0.999701046338	0.56330749354	0.9988052568700001	0.480705622933	0.999252950844	0.518738845925	0.9990380543449999	0.39918111273699997
relu	256	True	1	None	0.15746118786647662	mean	False	1234	0.05	7	all	5	5321	166172	Adagrad	0.7	classification	True	True	234567	cells	False	123456	False	1234	True	6337.5790622234335	0.999749561733	0.598364978903	1.0	0.5150964812709999	0.999874765185	0.553617177016	0.999805363788	0.33792840905	1.0	0.761282813914	1.0	0.8231263982100001	1.0	0.7909976486399999	1.0	0.48251592395099996	1.0	0.542596348884	1.0	0.33004318322	1.0	0.410433448408	1.0	0.359271491127	1.0	0.39954075775	1.0	0.195505617978	1.0	0.262542436816	1.0	0.20087892601100002	0.9996042738429999	0.569274269557	0.9996042738429999	0.44395442851899997	0.9996042738429999	0.498864340285	0.999489896626	0.38442947536
relu	256	True	1	None	0.15746118786647662	mean	False	1234	0.05	8	all	5	5321	166172	Adagrad	0.8	classification	True	True	234567	cells	False	123456	False	1234	True	6334.832696199416	1.0	0.5768570728119999	0.9996268656720001	0.534165720772	0.9998133980220001	0.554691183404	0.99970967344	0.325028987826	1.0	0.762205553362	1.0	0.809843400447	1.0	0.7853026913429999	1.0	0.47397694687700004	1.0	0.520430107527	1.0	0.298581122764	1.0	0.37945903567199996	1.0	0.329350579896	1.0	0.387387387387	1.0	0.193258426966	1.0	0.257871064468	1.0	0.19335519179400001	1.0	0.527433628319	1.0	0.438074237413	1.0	0.47861875125500003	1.0	0.35171555522
relu	256	True	1	None	0.15746118786647662	mean	False	1234	0.05	9	all	5	5321	166172	Adagrad	0.9	classification	True	True	234567	cells	False	123456	False	1234	True	6334.561455965041	1.0	0.566675907957	1.0	0.46401816118	1.0	0.510234648028	1.0	0.28374700768000005	1.0	0.7488202777399999	1.0	0.7765659955259999	1.0	0.7624407989569999	1.0	0.426742760529	1.0	0.434280639432	1.0	0.301665638495	1.0	0.356024754277	1.0	0.284785361651	1.0	0.361161524501	1.0	0.11179775280899999	1.0	0.17074217074200002	1.0	0.134007450263	1.0	0.492543859649	1.0	0.412715913267	1.0	0.44911017796400005	1.0	0.313625425202
