activation	batch_size	compound_weighting	concurrent_perm	data_transform	dropout	imputation_method	impute_labels	impute_seed	learning_rate	model_suffix	multitask_strategy	num_layers	num_neurons	num_steps	optimizer	percent_to_delete	prediction_mode	read_parameters	remove_labels	remove_seed	remove_type	restore_network	seed	shuffle_labels	shuffle_seed	target_weighting	Time	1814_precision_Train	1814_precision_Test	1814_recall_Train	1814_recall_Test	1814_fscore_Train	1814_fscore_Test	1814_mcc_Train	1814_mcc_Test	2314_precision_Train	2314_precision_Test	2314_recall_Train	2314_recall_Test	2314_fscore_Train	2314_fscore_Test	2314_mcc_Train	2314_mcc_Test	485346_precision_Train	485346_precision_Test	485346_recall_Train	485346_recall_Test	485346_fscore_Train	485346_fscore_Test	485346_mcc_Train	485346_mcc_Test	504652_precision_Train	504652_precision_Test	504652_recall_Train	504652_recall_Test	504652_fscore_Train	504652_fscore_Test	504652_mcc_Train	504652_mcc_Test	743279_precision_Train	743279_precision_Test	743279_recall_Train	743279_recall_Test	743279_fscore_Train	743279_fscore_Test	743279_mcc_Train	743279_mcc_Test
relu	64	True	1	None	0.2931862620056385	mean	False	1234	0.05	0	all	5	6071	221968	Adagrad	0.0	classification	True	True	1234	cells	False	123456	False	1234	True	6054.652122735976	0.9978827977320001	0.6252697194919999	0.9973548972190001	0.605525888089	0.997618777639	0.615239443265	0.9963093897059999	0.416295247319	0.999625748503	0.7916271507930001	0.998738022903	0.812317530933	0.999181688527	0.8018388911759999	0.998081497861	0.521380627073	0.996299342105	0.5817923186339999	0.997324552377	0.506501547988	0.996811683637	0.541542535584	0.996333794916	0.479952092988	0.996845425868	0.40647773279399996	0.9977711738480001	0.287844036697	0.997308085027	0.3370258476	0.996853650752	0.254542611002	0.9986575543080001	0.624097472924	0.9969541910330001	0.506407909191	0.997805145714	0.559126743481	0.997186825025	0.45490505479599996
relu	64	True	1	None	0.2931862620056385	mean	False	1234	0.05	1	all	5	6071	221968	Adagrad	0.1	classification	True	True	1234	cells	False	123456	False	1234	True	5967.48123240471	0.998405103668	0.598588442876	0.999411814133	0.630136986301	0.9989082052570001	0.613957697093	0.998307215194	0.401408127628	0.999378753365	0.787939564113	0.999327017653	0.8192687334909999	0.999352884839	0.8032988004359999	0.998479890213	0.520820313611	0.9979550102249999	0.607859531773	0.998181818182	0.450154798762	0.998068401318	0.517253646389	0.9977772092489999	0.46380027940800006	0.9969110378910001	0.387024608501	0.998556105611	0.297591743119	0.997732893652	0.33646677471600006	0.997349961709	0.247027900427	0.9985080699850001	0.627505827506	0.9978313906209999	0.49285975833000006	0.9981696156190001	0.552091878589	0.9976540194939999	0.449769924253
relu	64	True	1	None	0.2931862620056385	mean	False	1234	0.05	2	all	5	6071	221968	Adagrad	0.2	classification	True	True	1234	cells	False	123456	False	1234	True	5952.489142179488	0.998582900331	0.602567041027	0.999149257964	0.610401671697	0.998865998866	0.60645905421	0.998241485802	0.395718608369	0.999534558995	0.7883083569600001	0.9996508786220001	0.811761434728	0.9995927154240001	0.799863013699	0.999043920357	0.515485498143	0.997696442283	0.5612244897959999	0.998718934153	0.5108359133129999	0.998207426376	0.5348460291730001	0.997937683786	0.46978132821900004	0.9974862888480001	0.39630931458700003	0.9988558352399999	0.258600917431	0.998170592271	0.312977099237	0.997857570022	0.233995517472	0.997695144438	0.612931411097	0.997848470878	0.51373123398	0.997771801767	0.558964143426	0.997147627176	0.45118575813
relu	64	True	1	None	0.2931862620056385	mean	False	1234	0.05	3	all	5	6071	221968	Adagrad	0.3	classification	True	True	1234	cells	False	123456	False	1234	True	5935.870881080627	0.9988113248330001	0.6029904039280001	0.999135228624	0.62735082424	0.998973250473	0.6149294492490001	0.9984102689409999	0.404668161078	0.999333555482	0.780157687254	0.999933315551	0.825385791742	0.999633345555	0.8021347024250001	0.999142279132	0.512649421248	0.997373796323	0.596071733561	0.997373796323	0.432198142415	0.997373796323	0.5010768126349999	0.9969774776829999	0.44711069257799996	0.99762344864	0.408514492754	0.999206559111	0.258600917431	0.998414376321	0.316713483146	0.998145566388	0.241099232815	0.9982443820219999	0.606047516199	0.999121419786	0.51373123398	0.998682708352	0.556084026952	0.9983139259839999	0.44636985495399994
relu	64	True	1	None	0.2931862620056385	mean	False	1234	0.05	4	all	5	6071	221968	Adagrad	0.4	classification	True	True	1234	cells	False	123456	False	1234	True	6151.9359061718	0.9992427110940001	0.599483810418	0.999621212121	0.593220338983	0.9994319257719999	0.596335628428	0.9991208621909999	0.38400500271899995	0.999454063329	0.7842069434990001	0.999765954127	0.8007785346870001	0.999609984399	0.7924061081300001	0.999089759298	0.5001998367880001	0.9979188345469999	0.585429314831	0.9975728155339999	0.417956656347	0.9977457950409999	0.487716763006	0.9974111514239999	0.433185505542	0.998151001541	0.388679245283	0.998458692972	0.23623853210999998	0.998304823548	0.293865905849	0.9980173708	0.218349931616	0.998155359705	0.577867203219	0.998769483183	0.525814719883	0.9984623270119999	0.550613496933	0.9980323461499999	0.432383071937
relu	64	True	1	None	0.2931862620056385	mean	False	1234	0.05	5	all	5	6071	221968	Adagrad	0.5	classification	True	True	1234	cells	False	123456	False	1234	True	6276.615554332733	0.999396590738	0.5981377113449999	0.999547374774	0.566751799396	0.999471977069	0.582021936099	0.9991801348520001	0.369688764557	0.999437095412	0.777866347815	0.999812294697	0.8139858195469999	0.999624659848	0.795516304348	0.999119451037	0.499760989132	0.9995969367190001	0.5710253998120001	0.999194198227	0.37585139318899996	0.9993955268989999	0.453323375653	0.999303447366	0.401184506897	0.998119593832	0.366418527709	1.0	0.254013761468	0.9990589121019999	0.300033863867	0.998902128794	0.213695758446	0.999039385207	0.5753482482060001	0.999279365842	0.499084584401	0.9991593611139999	0.534509803922	0.9989178354970001	0.41677743852399995
relu	64	True	1	None	0.2931862620056385	mean	False	1234	0.05	6	all	5	6071	221968	Adagrad	0.6	classification	True	True	1234	cells	False	123456	False	1234	True	6273.240942716599	0.9996234230840001	0.5873493975899999	0.9994352409639999	0.543301602043	0.9995293231669999	0.564467494874	0.9992685504700001	0.34759351385399995	0.999417317329	0.7804681194509999	0.9998834091169999	0.806617544835	0.9996503088940001	0.793327408218	0.99917237345	0.49844693604699997	0.9994939271259999	0.542288557214	1.0	0.404953560372	0.9997468995190001	0.46366536689099996	0.9997084878679999	0.402015177545	0.9990658570759999	0.38066465256800003	0.99953271028	0.216743119266	0.999299229152	0.27621483376	0.9991817713200002	0.20391685253800002	0.9993993993989999	0.586994727592	0.9987995198080001	0.489198095936	0.999099369559	0.53365288596	0.9988416235009999	0.419956883086
relu	64	True	1	None	0.2931862620056385	mean	False	1234	0.05	7	all	5	6071	221968	Adagrad	0.7	classification	True	True	1234	cells	False	123456	False	1234	True	6288.708318948747	1.0	0.580628673652	0.9997488068320001	0.52751335036	0.99987438764	0.5527980535279999	0.9998047445649999	0.333469792998	0.9993751952509999	0.757462686567	0.999843725582	0.818434589184	0.9996094055149999	0.786769127965	0.999076339481	0.46763334888700003	1.0	0.52030217186	1.0	0.341176470588	1.0	0.412116679132	1.0	0.35431895544299996	0.9987538940809999	0.349867139061	1.0	0.226490825688	0.999376558603	0.274973894883	0.999272775633	0.19070908651000001	0.9992060341410001	0.546997389034	1.0	0.46027096301700005	0.999602859412	0.499900576655	0.999488626052	0.37643362923699997
relu	64	True	1	None	0.2931862620056385	mean	False	1234	0.05	8	all	5	6071	221968	Adagrad	0.8	classification	True	True	1234	cells	False	123456	False	1234	True	6282.0720784664145	1.0	0.560185185185	1.0	0.533782214999	1.0	0.546665081441	1.0	0.31524321398	0.999762357414	0.7627397260269999	0.9995248277500001	0.774085916864	0.999643578472	0.768370937694	0.99916491926	0.444604523126	1.0	0.48356401384099995	1.0	0.34613003096	1.0	0.403464453266	1.0	0.336790670172	0.999014778325	0.34110787172	1.0	0.20126146789000002	0.999507146378	0.253155427335	0.9994287611310001	0.17369003798799998	1.0	0.55955955956	0.999412110523	0.409373855731	0.9997059688330001	0.472827236202	0.999620504968	0.35919696222900005
relu	64	True	1	None	0.2931862620056385	mean	False	1234	0.05	9	all	5	6071	221968	Adagrad	0.9	classification	True	True	1234	cells	False	123456	False	1234	True	6282.284141778947	1.0	0.538752362949	1.0	0.529370791734	1.0	0.534020377093	1.0	0.290248789907	1.0	0.734736026849	1.0	0.791324899208	1.0	0.761981258367	1.0	0.406426171188	1.0	0.45394736842100003	1.0	0.25634674922600004	1.0	0.327661258409	1.0	0.271170212172	1.0	0.36702767749700005	1.0	0.17488532110100002	1.0	0.236893203883	1.0	0.17472563112199999	1.0	0.494581280788	1.0	0.367630904431	1.0	0.42176013442599997	1.0	0.293283287471
relu	64	True	1	None	0.2931862620056385	mean	False	1234	0.05	10	all	5	6071	221968	Adagrad	0.05	classification	True	True	1234	cells	False	123456	False	1234	True	6284.809693336487	0.997532632919	0.600177501664	0.9992027425660001	0.628047364755	0.998366989286	0.613796233265	0.997469316785	0.402047302383	0.9996550874600001	0.7978379896109999	0.9978359236669999	0.790073682747	0.998744677185	0.7939368538699999	0.997063500479	0.514153753935	0.9965442764579999	0.593701996928	0.996974935177	0.478637770898	0.9967595593	0.5299965718199999	0.996272972075	0.471813296008	0.9968901846449999	0.405165456013	0.99844267082	0.287844036697	0.99766582377	0.336573918874	0.997270105943	0.253742806447	0.9973083824660001	0.591017488076	0.999101181305	0.544489198096	0.998203976908	0.566800076234	0.997698217871	0.45175149898100003
relu	64	True	1	None	0.2931862620056385	mean	False	1234	0.05	11	all	5	6071	221968	Adagrad	0.15	classification	True	True	1234	cells	False	123456	False	1234	True	6284.047008037567	0.9991097658679999	0.625032191604	0.997334044255	0.563501276991	0.998221115361	0.592673992674	0.9972444988070001	0.39450345300399997	0.998796498906	0.783904424314	0.9996167533529999	0.830112609481	0.999206457792	0.8063470627949999	0.998135032251	0.522804985612	0.996386412913	0.586370839937	0.9987925621829999	0.45820433436499997	0.997588036662	0.514424748001	0.997226625358	0.456346789628	0.998489425982	0.411172161172	0.9987049428020001	0.25745412844	0.998597172764	0.316643159379	0.9983573858529999	0.242033256939	0.9979902383	0.615384615385	0.998276852384	0.5067740754300001	0.9981335247669999	0.5558232931729999	0.99760694874	0.449131440038
relu	64	True	1	None	0.2931862620056385	mean	False	1234	0.05	12	all	5	6071	221968	Adagrad	0.25	classification	True	True	1234	cells	False	123456	False	1234	True	6258.620806455611	0.997276029056	0.597951623447	0.999595510163	0.637102391456	0.998434422504	0.61690647482	0.997575622256	0.404225636302	0.999069132431	0.775985663082	0.999751599081	0.8427637981370001	0.9994102492470001	0.8079973342219999	0.9986160232700001	0.519658732063	0.9994511525799998	0.615384615385	0.9975349219390001	0.44086687306500005	0.998492117889	0.513708513709	0.998266309441	0.46255605023900004	0.999263984298	0.41323971915700003	0.999018886436	0.23623853210999998	0.9991414203360001	0.300620211602	0.9989950881499999	0.232060831688	0.9983641419920001	0.595591352268	0.9982008505069999	0.514463566459	0.998282489572	0.552062868369	0.997800545218	0.439352803644
relu	64	True	1	None	0.2931862620056385	mean	False	1234	0.05	13	all	5	6071	221968	Adagrad	0.35	classification	True	True	1234	cells	False	123456	False	1234	True	6215.464267969132	0.998483788197	0.618408203125	0.998716752217	0.588112375203	0.99860025662	0.602879923837	0.997833842543	0.400565627761	0.999784219233	0.797495074585	0.99892202659	0.7878492979289999	0.999352936947	0.792642842157	0.998491538704	0.511916719162	0.997784810127	0.5695817490489999	0.998732974343	0.463777089783	0.998258667089	0.511262798635	0.9979977999040001	0.449764607565	0.998857795545	0.39980544747100005	0.997718197376	0.23566513761500002	0.998287671233	0.296536796537	0.997998136496	0.224346240224	0.9992425676960001	0.575414476345	0.99829738933	0.52105455877	0.998769754897	0.546887009992	0.9984258315200001	0.428125550974
relu	64	True	1	None	0.2931862620056385	mean	False	1234	0.05	14	all	5	6071	221968	Adagrad	0.45	classification	True	True	1234	cells	False	123456	False	1234	True	6227.34069132805	0.998360431753	0.5945699292719999	0.999589603283	0.605061527746	0.998974639415	0.599769850403	0.998409078492	0.38471364494099997	0.999830220713	0.783660306369	0.999745352687	0.8107882663699999	0.9997877848989999	0.7969935087119999	0.99950352125	0.507012508185	0.996576645112	0.564945226917	0.9996184662340001	0.447058823529	0.9980952380949999	0.499135845143	0.997815360115	0.43798746878300004	0.9996619337389999	0.42469470827699995	0.992614971467	0.179472477064	0.9961259895569999	0.252317613865	0.9954799281380001	0.20557039682599998	0.996870809119	0.5709247648899999	0.998880179171	0.5335042109120001	0.997874482604	0.551580541359	0.997282467923	0.431134219367
relu	64	True	1	None	0.2931862620056385	mean	False	1234	0.05	15	all	5	6071	221968	Adagrad	0.55	classification	True	True	1234	cells	False	123456	False	1234	True	6234.144463062286	0.9989875126559999	0.5930969711199999	0.999662276258	0.586487114	0.999324780554	0.589773523231	0.998954375261	0.374108848194	0.999584069876	0.778455823826	0.9998959850220001	0.815793132212	0.9997400031200001	0.796687258163	0.999387635284	0.502170212922	0.999105545617	0.572380952381	0.998212689902	0.37213622291000004	0.998658918194	0.451031894934	0.9984543285259999	0.399720642978	0.9995840266220001	0.383499546691	0.999168399168	0.24254587156	0.9993761696819999	0.297154899895	0.9992716148649999	0.21850308007199998	1.0	0.629023458811	0.998397007748	0.42218967411200004	0.999197860963	0.505258545136	0.9989685080830001	0.41113208726800005
relu	64	True	1	None	0.2931862620056385	mean	False	1234	0.05	16	all	5	6071	221968	Adagrad	0.65	classification	True	True	1234	cells	False	123456	False	1234	True	6227.948502779008	0.999141262344	0.575104141142	0.998712446352	0.544926863246	0.998926808328	0.559608965188	0.9983312713600001	0.335845628838	0.999198289685	0.763777490298	0.9997326203210001	0.820797998054	0.9994653835870001	0.791261810628	0.99873177426	0.48068238101800004	0.999412455934	0.5222482435600001	0.999412455934	0.414241486068	0.999412455934	0.462016574586	0.9993243657299999	0.395514510831	0.999467234949	0.388764044944	0.998935037274	0.198394495413	0.9992010652459999	0.262718299165	0.999067131161	0.19866457645500002	0.999315771468	0.564751286449	0.999657768652	0.482240937386	0.999486740804	0.520244914083	0.999339540217	0.40045219724
relu	64	True	1	None	0.2931862620056385	mean	False	1234	0.05	17	all	5	6071	221968	Adagrad	0.75	classification	True	True	1234	cells	False	123456	False	1234	True	6233.309734106065	1.0	0.5830258302579999	0.9982052049060001	0.513582540051	0.9991017964069999	0.546105419084	0.998605174841	0.32942867327500003	0.999622142452	0.7713094917990001	0.999811035525	0.7975809815100001	0.9997165800660001	0.784225275101	0.9993345850480001	0.476137139594	1.0	0.498657117278	1.0	0.34489164086699997	1.0	0.40775988287	1.0	0.344595204313	0.999235474006	0.351230425056	1.0	0.18004587156	0.9996175908220001	0.238059135709	0.9995550606460001	0.169059611878	1.0	0.550582750583	1.0	0.432442328817	1.0	0.48441345365099997	1.0	0.364925460322
relu	64	True	1	None	0.2931862620056385	mean	False	1234	0.05	18	all	5	6071	221968	Adagrad	0.85	classification	True	True	1234	cells	False	123456	False	1234	True	6222.529371261597	0.999494949495	0.5595238095239999	1.0	0.50197353146	0.999747410962	0.529188593807	0.9996086950309999	0.300637133435	1.0	0.757633072143	1.0	0.7796468789100001	1.0	0.768482356972	1.0	0.439669261723	1.0	0.48603351955300006	0.994428969359	0.269349845201	0.9972067039110001	0.346613545817	0.996797413995	0.295015433847	1.0	0.31368821292800003	1.0	0.189220183486	1.0	0.23605150214600001	1.0	0.15179122347500001	1.0	0.518535262206	1.0	0.41999267667499995	1.0	0.464090633219	1.0	0.335781048266
relu	64	True	1	None	0.2931862620056385	mean	False	1234	0.05	19	all	5	6071	221968	Adagrad	0.95	classification	True	True	1234	cells	False	123456	False	1234	True	6229.215470075606	1.0	0.51598173516	1.0	0.524727188298	1.0	0.520317716128	1.0	0.26268409507	1.0	0.7142344068	1.0	0.829417489226	1.0	0.767528624727	1.0	0.392869198057	1.0	0.416918429003	1.0	0.170897832817	1.0	0.242424242424	1.0	0.20244407363800002	1.0	0.297429620563	1.0	0.139334862385	1.0	0.189769621242	1.0	0.119989783604	1.0	0.472768107805	1.0	0.308311973636	1.0	0.373226950355	1.0	0.249931764614
