activation	batch_size	compound_weighting	concurrent_perm	data_transform	dropout	imputation_method	impute_labels	impute_seed	learning_rate	model_suffix	multitask_strategy	num_layers	num_neurons	num_steps	optimizer	percent_to_delete	prediction_mode	read_parameters	remove_labels	remove_seed	remove_type	restore_network	seed	shuffle_labels	shuffle_seed	target_weighting	Time	1814_precision_Train	1814_precision_Test	1814_recall_Train	1814_recall_Test	1814_fscore_Train	1814_fscore_Test	1814_mcc_Train	1814_mcc_Test	2314_precision_Train	2314_precision_Test	2314_recall_Train	2314_recall_Test	2314_fscore_Train	2314_fscore_Test	2314_mcc_Train	2314_mcc_Test	485346_precision_Train	485346_precision_Test	485346_recall_Train	485346_recall_Test	485346_fscore_Train	485346_fscore_Test	485346_mcc_Train	485346_mcc_Test	504652_precision_Train	504652_precision_Test	504652_recall_Train	504652_recall_Test	504652_fscore_Train	504652_fscore_Test	504652_mcc_Train	504652_mcc_Test	743279_precision_Train	743279_precision_Test	743279_recall_Train	743279_recall_Test	743279_fscore_Train	743279_fscore_Test	743279_mcc_Train	743279_mcc_Test
relu	256	True	1	None	0.15746118786647662	mean	False	1234	0.05	0	all	5	5321	166172	Adagrad	0.0	classification	True	True	123456	cells	False	123456	False	1234	True	6567.806745529175	0.9996195693529999	0.630639324487	0.999467478129	0.594902139281	0.999543517955	0.612249677948	0.9992949747319999	0.41002435687	0.9998132063140001	0.792290928902	0.9997198356370001	0.8110708310089999	0.999766518795	0.801570897065	0.999451445097	0.523447717654	1.0	0.61	0.9985546149079999	0.44880441446999997	0.9992767847920001	0.517131755563	0.999169253399	0.463541654337	0.9992481203010001	0.41385597083000003	0.999060327006	0.25124515772	0.9991542148289999	0.312672176309	0.9990134352500001	0.236973644241	0.998661474811	0.5979591836729999	0.9987830108310001	0.538207200588	0.998722239124	0.566511987626	0.9983610015629999	0.454022171765
relu	256	True	1	None	0.15746118786647662	mean	False	1234	0.05	1	all	5	5321	166172	Adagrad	0.1	classification	True	True	123456	cells	False	123456	False	1234	True	6466.414485454559	0.9994064275419999	0.628488931665	0.9994064275419999	0.594446973145	0.9994064275419999	0.610994152047	0.999083146703	0.40765277883699996	0.999792250961	0.784999332711	0.999532686017	0.820133853876	0.9996624516399999	0.802182066144	0.999207650437	0.518645760953	0.9995415998170001	0.607508532423	0.99885478699	0.436541998774	0.999198075381	0.5080271138069999	0.999078578994	0.45515074339199996	0.999162654386	0.44157088122599997	0.999162654386	0.255118981738	0.999162654386	0.323395299895	0.999023697948	0.254449081341	0.999458068012	0.6125116713350001	0.9987814784729999	0.481998530492	0.999119658698	0.539473684211	0.9988704577519999	0.43417842903399995
relu	256	True	1	None	0.15746118786647662	mean	False	1234	0.05	2	all	5	5321	166172	Adagrad	0.2	classification	True	True	123456	cells	False	123456	False	1234	True	6462.239765882491	0.999231950845	0.612091791703	0.9997118432430001	0.631315430132	0.9994718394390001	0.621555007842	0.999186275148	0.409727151731	0.9998240159559999	0.797316384181	0.999648093842	0.787088678193	0.9997360471600001	0.7921695200669999	0.9993802388169999	0.512979620717	0.9994863893170001	0.5799126637550001	0.9982046678640001	0.407112201104	0.998845117413	0.478386167147	0.9986722357960001	0.42330415484300005	0.999762074709	0.40585365853699995	0.999762074709	0.230215827338	0.999762074709	0.293785310734	0.999722964849	0.22153453886399999	0.999234420456	0.587671803415	0.999234420456	0.518368846436	0.999234420456	0.550849111849	0.999018316381	0.43618809628999994
relu	256	True	1	None	0.15746118786647662	mean	False	1234	0.05	3	all	5	5321	166172	Adagrad	0.3	classification	True	True	123456	cells	False	123456	False	1234	True	6458.620167016982	0.999231950845	0.607926397735	0.999780436931	0.5864815657720001	0.9995061186409999	0.597011467624	0.999239454281	0.382839978565	0.999530956848	0.781825407339	0.999731921453	0.8229224762970001	0.99963142905	0.801847700564	0.999137008047	0.5155680702809999	0.997964524571	0.590949423248	1.0	0.408338442673	0.99898122544	0.4829586657	0.998827846347	0.42995112432300003	0.999730676003	0.40947867298600005	0.9989235737350001	0.239070282236	0.9993269619059999	0.301886792453	0.999215293406	0.228181418981	0.99947257384	0.61306042885	0.998594765501	0.462160176341	0.999033476847	0.527021365731	0.9987615667380001	0.423702340804
relu	256	True	1	None	0.15746118786647662	mean	False	1234	0.05	4	all	5	5321	166172	Adagrad	0.4	classification	True	True	123456	cells	False	123456	False	1234	True	6463.6800911426535	0.999614445444	0.614792752544	0.999614445444	0.56372325899	0.999614445444	0.5881514899679999	0.9994069765639999	0.37848874469899996	0.999608089042	0.7794626230380001	0.999921593226	0.817066369214	0.999764816557	0.7978216473790001	0.999450681683	0.506964450979	0.99932705249	0.609	0.998990918264	0.37339055794	0.9991589571070001	0.462941847206	0.9990303849959999	0.418558844586	0.999060738885	0.39667896679	0.998435544431	0.237963475374	0.998748043818	0.297474922172	0.998538872615	0.22036724822700002	0.9993814432989999	0.5918458781360001	0.9995875438230001	0.48530492285099996	0.9994844829359999	0.533306419055	0.9993399119399999	0.42177929091899996
relu	256	True	1	None	0.15746118786647662	mean	False	1234	0.05	5	all	5	5321	166172	Adagrad	0.5	classification	True	True	123456	cells	False	123456	False	1234	True	6458.275339603424	0.999849079384	0.612043698375	0.999396590738	0.522758306782	0.999622783855	0.563888547932	0.999415109334	0.35565554695600005	0.9999078001109999	0.782852454533	1.0	0.7982431678749999	0.99995389793	0.790472903003	0.99989088794	0.49808831152099997	0.9987458193979999	0.550788091068	0.999163529904	0.385652973636	0.998954630985	0.453660295709	0.998800391128	0.39525578864200006	1.0	0.41862845445200003	1.0	0.22634200331999998	1.0	0.29382183908000004	1.0	0.226417027719	0.9992850333650001	0.587360594796	0.999523241955	0.46436443791299997	0.9994041234659999	0.5186704965119999	0.999232919942	0.407573637584
relu	256	True	1	None	0.15746118786647662	mean	False	1234	0.05	6	all	5	5321	166172	Adagrad	0.6	classification	True	True	123456	cells	False	123456	False	1234	True	6375.280456781386	0.99962721342	0.589289766281	0.999813571961	0.591033227128	0.999720384006	0.590160209067	0.999565411803	0.36552469364100004	0.9997691597409999	0.7728411338169999	1.0	0.817345231456	0.999884566547	0.7944704208169999	0.999726301016	0.49595625155199996	0.998931623932	0.559556786704	1.0	0.371551195586	0.9994655264560001	0.446573323508	0.999388784279	0.39193163962600003	1.0	0.420147420147	1.0	0.189263973437	1.0	0.260969095765	1.0	0.206353880812	0.998813408484	0.567687527741	0.9997030878859999	0.469875091844	0.999258050156	0.5141708542710001	0.9990458727	0.396710013196
relu	256	True	1	None	0.15746118786647662	mean	False	1234	0.05	7	all	5	5321	166172	Adagrad	0.7	classification	True	True	123456	cells	False	123456	False	1234	True	6355.538420438767	0.999752291305	0.590148022325	1.0	0.553482020938	0.9998761303110001	0.5712272460360001	0.999807339954	0.348592230669	0.999692165615	0.768178159378	1.0	0.798382598996	0.9998460591130001	0.7829891973199999	0.999635244164	0.47358520215800004	1.0	0.555992141454	1.0	0.347026364194	1.0	0.427331068328	1.0	0.37575098519199995	1.0	0.39387755102	1.0	0.21361372440499998	1.0	0.277000358809	1.0	0.20625059730999998	1.0	0.553171641791	1.0	0.43570903747199996	1.0	0.48746403616899997	1.0	0.36891330967600006
relu	256	True	1	None	0.15746118786647662	mean	False	1234	0.05	8	all	5	5321	166172	Adagrad	0.8	classification	True	True	123456	cells	False	123456	False	1234	True	6350.937509775163	0.999634369287	0.577888257576	1.0	0.555530268548	0.999817151216	0.566488744488	0.999714743387	0.336729943267	0.999771009847	0.754471975619	1.0	0.793920803123	0.999885491813	0.773693865072	0.9997303691299999	0.44655316741800005	1.0	0.540372670807	1.0	0.320049049663	1.0	0.40200231035800005	1.0	0.35176827083000006	1.0	0.355789473684	1.0	0.18705035971200001	1.0	0.24519405150499998	1.0	0.171718495298	0.9994072317720001	0.552346570397	1.0	0.393460690669	0.9997035280169999	0.459558034756	0.999619276359	0.34653063005400003
relu	256	True	1	None	0.15746118786647662	mean	False	1234	0.05	9	all	5	5321	166172	Adagrad	0.9	classification	True	True	123456	cells	False	123456	False	1234	True	6351.933074474335	1.0	0.544925335358	1.0	0.48998634501599997	1.0	0.515997603355	1.0	0.27331019248599997	1.0	0.743228602384	1.0	0.765197992192	1.0	0.754053311349	1.0	0.40697702666	1.0	0.504972375691	1.0	0.280196198651	1.0	0.36041009463699997	1.0	0.310197250657	1.0	0.336569579288	1.0	0.172661870504	1.0	0.22823701536200003	1.0	0.153977835664	1.0	0.5262587980510001	1.0	0.357090374724	1.0	0.425476034143	1.0	0.310383007391
