ID	SMILES
1006913	Nc1ccccc1C(=O)OCC(=O)Nc1ccc(Br)cc1F
1007044	Cc1cc(C)cc(NC(=O)c2ccc(CN3CCc4ccccc4C3)cc2)c1
1007660	Brc1ccc(Cn2c(-c3cncs3)nc3ccccc32)cc1
1007772	CCn1c(SCC(=O)NCc2cccs2)nnc1-c1cccs1
1007860	CC(C)(C)NS(=O)(=O)c1ccc(CCC(=O)Nc2cc(Cl)ccc2Oc2ccccc2)cc1
100787	NNc1ccc(Cl)nn1
1007873	CCN(CC)S(=O)(=O)c1ccc(NC(=O)c2ccc(N(C)S(C)(=O)=O)cc2)cc1
100789	Cc1cc(=O)oc2cc3c(cc12)CCCN3
10079106	CC(=O)OC12COC1CC(O)C1(C)C(=O)C(O)C3=C(C)C(OC(=O)C(O)C(NC(=O)c4ccccc4)c4ccccc4)CC(O)(C(OC(=O)c4ccccc4)C21)C3(C)C
1008028	CN(Cc1ccccc1)S(=O)(=O)c1ccc(OCC(=O)N2CCOCC2)cc1
1008046	CCOc1cc(C(=O)Nc2ccc(F)cc2)cc(Br)c1OC
1008176	C=CCN(c1ccc(C(=O)Nc2ccc(C)c(C)c2)cc1)S(C)(=O)=O
1008246	Cc1ccc(-c2csc(NC(=O)CSc3nc4ccccc4o3)n2)cc1
1008286	O=C(Nc1cc(Sc2ccccn2)cc([N+](=O)[O-])c1)c1ccc(Cl)cc1
1008292	CCOC(=O)Nc1ccc2c(c1)N(C(=O)CCN(C)C)c1ccccc1CC2
1008368	COc1ccc(C(=O)n2c(SC)nc3cc4c(cc32)OCCO4)cc1
1009261	Cn1ccc(C(=O)Nc2ccc(Br)cc2Br)n1
1009439	COC(=O)c1sc(NC(=O)c2cc(-c3ccccc3)nc3ccccc23)c(C#N)c1C
1009464	Cc1cccc(NC(=O)c2cc(-c3ccc(C)s3)nc3ccccc23)n1
1010251	COC(=O)c1sccc1NC(=O)/C=C/c1ccc(Cl)cc1Cl
1010725	Cc1cccc(-c2cc(C(=O)N3CCCc4ccccc43)c3ccccc3n2)c1
1011124	CC(=O)c1c(N2CCN(c3ccc(F)cc3)CC2)nc(=S)n(-c2ccccc2)c1C
1011161	O=C(N/N=C(\O)Nc1ccc(Cl)cc1)c1cccc(Br)c1
1011235	CCOC(=O)c1ccc(NC(=S)NC(=O)COc2ccccc2)cc1
1011383	O=C(Nc1ccc2c(c1)OCCO2)c1cccc(C(=O)Nc2ccc3c(c2)OCCO3)c1
1011412	Cn1cc(Cl)c(C(=O)OCC(=O)Nc2nc(-c3ccc(Br)cc3)cs2)n1
1011846	O=C(Nc1ccc(Nc2ccccc2)cc1)c1ccc(Br)o1
1011947	O=C(c1ccc(COc2ccccc2Br)o1)N1CCCCCC1
1011983	O=C(OCC(F)(F)F)c1cccc(COc2ccc3ccccc3c2)c1
1012227	O=C(c1ccc(COc2ccccc2Br)cc1)N1CCCCCC1
1012240	COc1ccc(-c2nc3ccccc3c(C(=O)Nc3ccc(S(=O)(=O)/N=c4/cc(C)o[nH]4)cc3)c2C)cc1
1012257	O=C(/C=C/c1ccc([N+](=O)[O-])cc1)N1CCN(c2ccccc2F)CC1
1012417	O=C(NCc1ccco1)c1ccc(COc2cc(Cl)ccc2Cl)cc1
101259	Fc1ccc(-c2nc3ccccc3[nH]2)cc1
1013515	Cc1cccc(-c2cc(C(=O)Nc3ccc4c(c3)OCCO4)c3ccccc3n2)c1
101430	OCC1OC(n2cnc3c(Nc4ccccc4)ncnc32)C(O)C1O
1014327	CC(=O)Oc1ccc(N(C(C)=O)S(=O)(=O)c2ccc3ccccc3c2)cc1Br
1014337	O=c1nc(SCc2nc3ccccc3c(=O)n2-c2ccccc2C(F)(F)F)[nH]c2ccccc12
1014343	O=C(NC(=S)NCCC1=CCCCC1)c1ccccc1Br
1014365	O=C(NC(=S)Nc1cccc(CO)c1)c1ccc(-c2ccccc2)cc1
1014390	O=C(COc1ccc(Cl)cc1Cl)NC(=S)N1CCCc2ccccc21
1014414	CC1CCN(S(=O)(=O)c2ccc(NC(=S)NC(=O)c3ccc(Cl)cc3)cc2)CC1
1014465	O=C(COc1ccc2ccccc2c1Br)NC(=S)Nc1cccc(CO)c1
1014486	Cc1nn(C)c(C(=O)Nc2ccc(Br)cc2F)c1Br
101479	Cc1ccccc1NC(=O)CCl
1014820	Cc1ccc(C(=O)Nc2sc(C)c(-c3ccccc3)c2C(N)=O)cc1[N+](=O)[O-]
1014950	O=C(COc1ccc(Br)cc1Br)NC(=S)N1CCCc2ccccc21
1014954	COc1ccc(C(=O)NC(=S)N2CCC(C)CC2)cc1Br
1014955	Cc1ccc(NC(=S)NC(=O)c2ccc(Br)o2)c(C)c1
1014967	O=C(NC(=S)NCCC1=CCCCC1)c1ccc(Br)o1
1015234	COc1ccc(OCC(=O)NC(=S)N2CCCc3ccccc32)cc1
1015243	O=C(COc1ccc(Br)cc1Cl)NC(=S)Nc1ccccn1
1015244	O=C(COc1ccc(Br)cc1Cl)NC(=S)N1CCc2ccccc21
1015259	CCc1ccc(OCC(=O)NC(=S)Nc2cccc(CO)c2)c(Br)c1
10156	COc1cc2c(c(OC)c1OC)-c1ccc(O)c(=O)cc1C(NC(C)=O)CC2
1015613	Cc1cccc(NC(=S)NC(=O)c2ccc(Br)o2)c1C
1015626	CC(=O)NC(=S)Nc1ccc(S(=O)(=O)N(C)Cc2ccccc2)cc1
1015636	CN1CCN(S(=O)(=O)c2ccc(NC(=O)Nc3cccc(Cl)c3)cc2)CC1
1015638	CCCS(=O)(=O)c1c(S(=O)(=O)CCC)c2cc(-c3ccncc3)ccn2c1C(=O)OC
1015803	CC(=O)Nc1ccc(S(=O)(=O)N2c3ccccc3C(C)=CC2(C)C)cc1
1015805	COc1ccc2c(c1)C(C)=CC(C)(C)N2S(=O)(=O)c1ccc(NC(C)=O)cc1
1016097	CC(=O)N1CCN(c2ccc(NC(=O)C(c3ccccc3)c3ccccc3)cc2)CC1
1016284	O=C(COc1ccccc1Cl)Nc1ccc(N2CCN(C(=O)c3ccccc3)CC2)cc1
1016479	Cc1onc(-c2ccccc2Cl)c1C(=O)OCC(=O)c1ccccc1
1016582	CC(=O)c1cccc(NC(=S)NC(=O)c2cncc(Br)c2)c1
1016887	COc1ccc(C(=O)NC(=S)Nc2nc(C)cc(C)n2)cc1Br
1017003	CC(C)C(=O)Nc1ccc2oc(-c3cc(F)c(F)cc3Cl)nc2c1
1017016	CC(=O)NC(=S)Nc1ccc2oc(-c3cc(F)c(F)cc3Cl)nc2c1
1017159	CCOc1cc(/C=C2\N=C(C)OC2=O)cc(Br)c1OCC(=O)OC
1017224	COc1ccc(CNC(=O)CSc2nc3ccc(N)cc3s2)cc1
1017282	Clc1ccc(CNc2ccc(N3CCN(Cc4ccccc4)CC3)cc2)cc1
1017320	CCOc1cc(CNc2ccccc2)cc(Br)c1OCC(=O)NC(C)(C)C
1017323	CCOc1cc(CNc2ccc(N(C)C)cc2)cc(Br)c1OCC(=O)NC(C)(C)C
1017339	COc1cc(CNc2ccc3[nH]c(=O)[nH]c3c2)cc(Br)c1OCC(=O)NC(C)(C)C
1017351	COc1cc(CNn2c(C)n[nH]c2=S)cc(Cl)c1OCC(=O)NC(C)(C)C
1017359	COc1cc(CNc2ccc(N3CCCCC3)cc2)ccc1OCC(=O)NC(C)(C)C
1017492	Cc1nc(NC(=O)c2ccc(Br)o2)ccc1Br
1017495	COc1ccc(Cl)cc1C(=O)Nc1ccc(Br)c(C)n1
1017499	CN1CCN(c2ccc(NC(=S)NC(=O)c3cccc4c(Br)cccc34)cc2)CC1
1017508	CCOc1ccc(C(=O)Nc2ccc(N3CCN(C)CC3)cc2)cc1Br
1017512	CN1CCN(c2ccc(NC(=O)c3ccc(Cl)cc3Cl)cc2)CC1
1017532	Cc1ccc(C(=O)N2CCN(c3ccc(NC(=S)NC(=O)c4cccs4)cc3)CC2)cc1
1017562	Cc1nc(NC(=O)c2cncc(Br)c2)ccc1Br
1017645	COc1c(C)cc(Br)cc1C(=O)Nc1ccc(S(N)(=O)=O)cc1
1017667	CCC(=O)N1CCN(c2ccc(NC(=O)c3cc4ccccc4o3)cc2)CC1
1017677	CCOc1c(Cl)cc(CNc2ccc(S(N)(=O)=O)cc2)cc1OC
1017691	O=C(Nc1ccc(-c2nc3ccccc3s2)cc1)c1cc(-n2cnnc2)ccc1Cl
1017695	Cc1c(NC(=O)c2cc(-n3cnnc3)ccc2Cl)cccc1-c1nc2ccccc2s1
1017698	O=C(Nc1ccc2oc(-c3ccccc3)nc2c1)c1cc(-n2cnnc2)ccc1Cl
1017700	Cc1ccc(-c2nc3ccccc3s2)cc1NC(=O)c1cc(-n2cnnc2)ccc1Cl
1017701	Cc1ccc2sc(-c3ccc(NC(=O)c4cc(-n5cnnc5)ccc4Cl)cc3)nc2c1
1017805	Cc1cc(C)n(Cc2ccc(C(=O)Nc3ccc(Br)cc3C)o2)n1
1017994	O=C(Nc1cc(Cl)ccc1N1CCOCC1)c1ccc(Br)o1
1018008	O=C(Nc1cc(Cl)ccc1N1CCOCC1)c1ccc2c(c1)OCCO2
1018302	CCC(=O)Nc1cccc(-c2nnc(SCC(=O)c3ccccc3)n2C)c1
1018429	Cc1cccc(C(=O)NC(=S)Nc2ccc(N3CCOCC3)cc2)c1
1018666	COc1ccc(C(=O)NC(=S)Nc2ccc(N3CCCC3)cc2)cc1OC
1019053	O=C(CCN1C(=O)c2ccccc2S1(=O)=O)Nc1ccc(Cl)cc1
1019093	C=CCN1C(=O)NC(=O)/C(=C/c2ccc(OCC(=O)Nc3ccc(C)cc3)cc2)C1=O
1019237	COc1ccccc1C(=O)Nc1cccc(NC(=O)c2ccccc2OC)n1
1019293	O=C(Nc1cccc(NC(=O)c2cccc(F)c2)n1)c1cccc(F)c1
1019520	O=C(NCc1ccccc1)c1ccc(Br)cc1Br
