burnin	compound_weighting	data_transform	imputation_method	impute_labels	impute_seed	lambda_beta	model_suffix	multitask_strategy	nsamples	num_latent	percent_to_delete	precision	prediction_mode	read_parameters	remove_labels	remove_seed	remove_type	seed	shuffle_labels	shuffle_seed	sn_max	target_weighting	tol	univariate	Time	1814_precision_Train	1814_precision_Test	1814_recall_Train	1814_recall_Test	1814_fscore_Train	1814_fscore_Test	1814_mcc_Train	1814_mcc_Test	2314_precision_Train	2314_precision_Test	2314_recall_Train	2314_recall_Test	2314_fscore_Train	2314_fscore_Test	2314_mcc_Train	2314_mcc_Test	2796_precision_Train	2796_precision_Test	2796_recall_Train	2796_recall_Test	2796_fscore_Train	2796_fscore_Test	2796_mcc_Train	2796_mcc_Test	463190_precision_Train	463190_precision_Test	463190_recall_Train	463190_recall_Test	463190_fscore_Train	463190_fscore_Test	463190_mcc_Train	463190_mcc_Test	485346_precision_Train	485346_precision_Test	485346_recall_Train	485346_recall_Test	485346_fscore_Train	485346_fscore_Test	485346_mcc_Train	485346_mcc_Test	504652_precision_Train	504652_precision_Test	504652_recall_Train	504652_recall_Test	504652_fscore_Train	504652_fscore_Test	504652_mcc_Train	504652_mcc_Test	588726_precision_Train	588726_precision_Test	588726_recall_Train	588726_recall_Test	588726_fscore_Train	588726_fscore_Test	588726_mcc_Train	588726_mcc_Test	652054_precision_Train	652054_precision_Test	652054_recall_Train	652054_recall_Test	652054_fscore_Train	652054_fscore_Test	652054_mcc_Train	652054_mcc_Test	687014_precision_Train	687014_precision_Test	687014_recall_Train	687014_recall_Test	687014_fscore_Train	687014_fscore_Test	687014_mcc_Train	687014_mcc_Test	743279_precision_Train	743279_precision_Test	743279_recall_Train	743279_recall_Test	743279_fscore_Train	743279_fscore_Test	743279_mcc_Train	743279_mcc_Test
895	True	None	mean	False	1234	5.0	0	all	1704	67	0.0	adaptive	classification	True	True	1234	cells	123456	False	1234	10.0	True	1e-06	0	26279.683976411816	1.0	0.620445894508	1.0	0.279931305201	1.0	0.385798816568	1.0	0.284537978869	1.0	0.712248198794	1.0	0.7296279560169999	1.0	0.7208333333329999	1.0	0.470991801044	1.0	0.7272727272730001	1.0	0.00557491289199	1.0	0.011065006915599999	1.0	0.0578589353162	1.0	1.0	1.0	0.00178094390027	1.0	0.0035555555555599997	1.0	0.040503793415300006	1.0	0.761904761905	1.0	0.012084592145	1.0	0.0237918215613	1.0	0.08851376417310002	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.865979381443	1.0	0.20273531778	1.0	0.328552803129	1.0	0.39844143632600004	1.0	0.7043478260870001	1.0	0.126168224299	1.0	0.214002642008	1.0	0.27471716339	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.6794258373209999	1.0	0.059463986599699994	1.0	0.109356950327	1.0	0.167129097621
895	True	None	mean	False	1234	5.0	1	all	1704	67	0.1	adaptive	classification	True	True	1234	cells	123456	False	1234	10.0	True	1e-06	0	25019.67508292198	1.0	0.625	1.0	0.278459273798	1.0	0.385268160217	1.0	0.286344147479	1.0	0.7089311859440001	1.0	0.729326705829	1.0	0.7189843343979999	1.0	0.466529185915	1.0	0.666666666667	1.0	0.00418118466899	1.0	0.008310249307479999	1.0	0.0472682839936	1.0	1.0	1.0	0.00178094390027	1.0	0.0035555555555599997	1.0	0.040503793415300006	1.0	0.6956521739129999	1.0	0.012084592145	1.0	0.023756495916900003	1.0	0.08346257384110001	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.864583333333	1.0	0.20032180209199998	1.0	0.325277596342	1.0	0.395628964446	1.0	0.7048458149779999	1.0	0.1246105919	1.0	0.211780277962	1.0	0.273111701546	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.682291666667	1.0	0.0548576214405	1.0	0.101550387597	1.0	0.16098767166
895	True	None	mean	False	1234	5.0	2	all	1704	67	0.2	adaptive	classification	True	True	1234	cells	123456	False	1234	10.0	True	1e-06	0	24714.217194557194	1.0	0.62774122807	1.0	0.28091265947	1.0	0.38813559321999996	1.0	0.289391982662	1.0	0.709880152002	1.0	0.731586082241	1.0	0.720569690676	1.0	0.46914962759900003	1.0	0.5714285714289999	1.0	0.00278745644599	1.0	0.005547850208039999	1.0	0.0346670425019	1.0	1.0	1.0	0.00178094390027	1.0	0.0035555555555599997	1.0	0.040503793415300006	1.0	0.68	1.0	0.012839879154100002	1.0	0.0252038547072	1.0	0.08476139894580001	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.857651245552	1.0	0.193885760257	1.0	0.316272965879	1.0	0.387208520396	1.0	0.7040358744390001	1.0	0.122274143302	1.0	0.208360982084	1.0	0.270299365504	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.658163265306	1.0	0.0540201005025	1.0	0.09984520123839999	1.0	0.15504847729000001
895	True	None	mean	False	1234	5.0	3	all	1704	67	0.3	adaptive	classification	True	True	1234	cells	123456	False	1234	10.0	True	1e-06	0	24474.816304206845	1.0	0.623542476402	1.0	0.275515210991	1.0	0.382167772673	1.0	0.28375949649099996	1.0	0.7056156770990001	1.0	0.726766079229	1.0	0.7160347258290001	1.0	0.460660251489	1.0	0.6	1.0	0.00209059233449	1.0	0.00416666666667	1.0	0.031075879125200004	1.0	1.0	1.0	0.00178094390027	1.0	0.0035555555555599997	1.0	0.040503793415300006	1.0	0.714285714286	1.0	0.011329305135999999	1.0	0.0223048327138	1.0	0.0822116713644	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.86231884058	1.0	0.19147224457000003	1.0	0.3133640553	1.0	0.38600436366999996	1.0	0.7023255813950001	1.0	0.11760124610600001	1.0	0.201467645097	1.0	0.264591499954	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.666666666667	1.0	0.056113902847600004	1.0	0.103514870606	1.0	0.159765476527
895	True	None	mean	False	1234	5.0	4	all	1704	67	0.4	adaptive	classification	True	True	1234	cells	123456	False	1234	10.0	True	1e-06	0	23896.01565003395	1.0	0.622197922362	1.0	0.2791952895	1.0	0.385436071126	1.0	0.285137298744	1.0	0.706372405729	1.0	0.727971079982	1.0	0.717009123952	1.0	0.46238018643999995	1.0	0.8	1.0	0.00278745644599	1.0	0.005555555555560001	1.0	0.043528469106499997	1.0	1.0	1.0	0.00178094390027	1.0	0.0035555555555599997	1.0	0.040503793415300006	1.0	0.666666666667	1.0	0.0105740181269	1.0	0.0208178438662	1.0	0.07590957855569999	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.8571428571430001	1.0	0.183427192277	1.0	0.302186878728	1.0	0.37628103003200003	1.0	0.704433497537	1.0	0.111370716511	1.0	0.192333557498	1.0	0.257876573264	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.655172413793	1.0	0.055695142378599995	1.0	0.102663064454	1.0	0.15686944789899998
895	True	None	mean	False	1234	5.0	5	all	1704	67	0.5	adaptive	classification	True	True	1234	cells	123456	False	1234	10.0	True	1e-06	0	23381.072661638264	1.0	0.6366802089379999	1.0	0.269136408243	1.0	0.378341093292	1.0	0.287466789608	1.0	0.70576191869	1.0	0.726916704323	1.0	0.716183126809	1.0	0.46094231760300003	1.0	0.33333333333299997	1.0	0.000696864111498	1.0	0.00139082058414	1.0	0.011209504458899998	1.0	1.0	1.0	0.00178094390027	1.0	0.0035555555555599997	1.0	0.040503793415300006	1.0	0.714285714286	1.0	0.011329305135999999	1.0	0.0223048327138	1.0	0.0822116713644	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.861111111111	1.0	0.174577634755	1.0	0.290301003344	1.0	0.367948652688	1.0	0.6830601092899999	1.0	0.0973520249221	1.0	0.17041581458799998	1.0	0.236154734257	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.631944444444	1.0	0.0381072026801	1.0	0.0718799368088	1.0	0.125558922708
895	True	None	mean	False	1234	5.0	6	all	1704	67	0.6	adaptive	classification	True	True	1234	cells	123456	False	1234	10.0	True	1e-06	0	22741.906659364704	1.0	0.6281673541539999	1.0	0.261530912659	1.0	0.369305387147	1.0	0.278063661997	1.0	0.7053004576999999	1.0	0.71953607471	1.0	0.712347151804	1.0	0.455858731365	1.0	0.4	1.0	0.001393728223	1.0	0.0027777777777800005	1.0	0.0186232891438	1.0	1.0	1.0	0.00178094390027	1.0	0.0035555555555599997	1.0	0.040503793415300006	1.0	0.777777777778	1.0	0.0105740181269	1.0	0.0208643815201	1.0	0.0838838307899	1.0	0.0	1.0	0.0	1.0	0.0	1.0	-0.004253257724389999	1.0	0.864628820961	1.0	0.159292035398	1.0	0.26902173913000005	1.0	0.352060698346	1.0	0.689655172414	1.0	0.09345794392519999	1.0	0.164609053498	1.0	0.23276178581999998	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.650793650794	1.0	0.034338358459000004	1.0	0.0652346857597	1.0	0.12214226587600001
895	True	None	mean	False	1234	5.0	7	all	1704	67	0.7	adaptive	classification	True	True	1234	cells	123456	False	1234	10.0	True	1e-06	0	21975.878873109818	1.0	0.618527042578	1.0	0.26373895976399997	1.0	0.369797041624	1.0	0.273909580974	1.0	0.70424403183	1.0	0.719837324898	1.0	0.711955307263	1.0	0.45467190905500005	1.0	0.0	1.0	0.0	1.0	0.0	1.0	-0.00397259751278	1.0	1.0	1.0	0.0008904719501339999	1.0	0.0017793594306	1.0	0.028639500061499998	1.0	0.733333333333	1.0	0.0083081570997	1.0	0.016430171769999998	1.0	0.07159691768019999	1.0	0.0	1.0	0.0	1.0	0.0	1.0	-0.0030074016428600003	1.0	0.875	1.0	0.14078841512499998	1.0	0.24255024255	1.0	0.333059660281	1.0	0.699346405229	1.0	0.08333333333330001	1.0	0.148921363953	1.0	0.221627824201	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.6283185840709999	1.0	0.0297319932998	1.0	0.0567772890844	1.0	0.110235440779
895	True	None	mean	False	1234	5.0	8	all	1704	67	0.8	adaptive	classification	True	True	1234	cells	123456	False	1234	10.0	True	1e-06	0	21075.563596248627	1.0	0.614973262032	1.0	0.253925417076	1.0	0.359437402327	1.0	0.266069664342	1.0	0.697936767107	1.0	0.708239192649	1.0	0.703050239234	1.0	0.43954896824100004	1.0	0.75	1.0	0.00209059233449	1.0	0.00416956219597	1.0	0.0361472914238	1.0	1.0	1.0	0.00178094390027	1.0	0.0035555555555599997	1.0	0.040503793415300006	1.0	0.75	1.0	0.004531722054380001	1.0	0.00900900900901	1.0	0.0536349051699	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.8503401360539999	1.0	0.10056315366	1.0	0.179856115108	1.0	0.276077752155	1.0	0.689655172414	1.0	0.0623052959502	1.0	0.114285714286	1.0	0.18965811251400003	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.5609756097559999	1.0	0.0288944723618	1.0	0.054958183990400006	1.0	0.09822278709110001
895	True	None	mean	False	1234	5.0	9	all	1704	67	0.9	adaptive	classification	True	True	1234	cells	123456	False	1234	10.0	True	1e-06	0	20337.56812620163	1.0	0.606474820144	1.0	0.206820412169	1.0	0.308452250274	1.0	0.232840440758	1.0	0.692690278824	1.0	0.6922729326710001	1.0	0.6924815428659999	1.0	0.42343340948299996	1.0	0.5	1.0	0.000696864111498	1.0	0.00139178844816	1.0	0.0157145991507	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	-0.00379940771968	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.928571428571	1.0	0.0209171359614	1.0	0.04091266719119999	1.0	0.132287071963	1.0	0.640625	1.0	0.0319314641745	1.0	0.0608308605341	1.0	0.129113000077	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.452830188679	1.0	0.010050251256299998	1.0	0.019664072101599997	1.0	0.0466214591431
