activation	batch_size	compound_weighting	concurrent_perm	data_transform	dropout	imputation_method	impute_labels	impute_seed	learning_rate	model_suffix	multitask_strategy	num_layers	num_neurons	num_steps	optimizer	percent_to_delete	prediction_mode	read_parameters	remove_labels	remove_seed	remove_type	restore_network	seed	shuffle_labels	shuffle_seed	target_weighting	Time	1814_precision_Train	1814_precision_Test	1814_recall_Train	1814_recall_Test	1814_fscore_Train	1814_fscore_Test	1814_mcc_Train	1814_mcc_Test	2314_precision_Train	2314_precision_Test	2314_recall_Train	2314_recall_Test	2314_fscore_Train	2314_fscore_Test	2314_mcc_Train	2314_mcc_Test	2796_precision_Train	2796_precision_Test	2796_recall_Train	2796_recall_Test	2796_fscore_Train	2796_fscore_Test	2796_mcc_Train	2796_mcc_Test	463190_precision_Train	463190_precision_Test	463190_recall_Train	463190_recall_Test	463190_fscore_Train	463190_fscore_Test	463190_mcc_Train	463190_mcc_Test	485346_precision_Train	485346_precision_Test	485346_recall_Train	485346_recall_Test	485346_fscore_Train	485346_fscore_Test	485346_mcc_Train	485346_mcc_Test	504652_precision_Train	504652_precision_Test	504652_recall_Train	504652_recall_Test	504652_fscore_Train	504652_fscore_Test	504652_mcc_Train	504652_mcc_Test	588726_precision_Train	588726_precision_Test	588726_recall_Train	588726_recall_Test	588726_fscore_Train	588726_fscore_Test	588726_mcc_Train	588726_mcc_Test	652054_precision_Train	652054_precision_Test	652054_recall_Train	652054_recall_Test	652054_fscore_Train	652054_fscore_Test	652054_mcc_Train	652054_mcc_Test	687014_precision_Train	687014_precision_Test	687014_recall_Train	687014_recall_Test	687014_fscore_Train	687014_fscore_Test	687014_mcc_Train	687014_mcc_Test	743279_precision_Train	743279_precision_Test	743279_recall_Train	743279_recall_Test	743279_fscore_Train	743279_fscore_Test	743279_mcc_Train	743279_mcc_Test
relu	128	True	1	None	0.21617730747194608	mean	False	1234	0.05	0	all	8	6692	189536	Adagrad	0.0	classification	True	True	1234	cells	False	123456	False	1234	True	10722.872503519058	0.988265432609	0.576063446287	0.9936025257559999	0.5880765456329999	0.990926792891	0.582008012626	0.987355417156	0.41170734178199997	0.9915723206579999	0.7498056289849999	0.993084862968	0.726314203946	0.9923280154459999	0.737872991584	0.985760078645	0.515385918879	0.9769267364409999	0.451939291737	0.9932285368799999	0.373519163763	0.985010193069	0.409004196871	0.983428270911	0.351545826377	0.973192771084	0.244375484872	0.971437161756	0.280498664292	0.9723141739390001	0.261194029851	0.96997641082	0.193646990493	0.9878404669259999	0.517857142857	0.989043097151	0.350453172205	0.988441416231	0.418018018018	0.987209777977	0.379061160785	0.98555343106	0.256944444444	0.9562976705830001	0.228254164096	0.9707051684450001	0.241751061745	0.967150405871	0.151008791718	0.9904963041179999	0.7179715302490001	0.989712476919	0.649235720032	0.990104235387	0.681875792142	0.989139810308	0.6540653022199999	0.9882163899299998	0.6185983827489999	0.983737669955	0.357476635514	0.9859719438879999	0.45310957551799996	0.984626307232	0.432511832262	0.9710769230769999	0.40114613180500003	0.979819931698	0.254777070064	0.975428836347	0.31163049527	0.973424272949	0.27554867556999996	0.986061726639	0.5654038599	0.984102200142	0.331239530988	0.985080988917	0.41774491682099996	0.982134816941	0.35126232664800006
relu	128	True	1	None	0.21617730747194608	mean	False	1234	0.05	1	all	8	6692	189536	Adagrad	0.1	classification	True	True	1234	cells	False	123456	False	1234	True	10638.027403116226	0.993698452414	0.583312453019	0.991493296348	0.571148184495	0.992594649634	0.5771662328	0.9896948690799999	0.40985831523599997	0.995090293454	0.762403798919	0.9929050059119999	0.701310438319	0.9939964486030001	0.7305821434180001	0.988885813056	0.514013211006	0.9734888653229999	0.46139180171599997	0.992700729927	0.337282229965	0.983000936956	0.38969404186800005	0.9812308014229999	0.337751107839	0.9703557312250001	0.254074784276	0.979062811565	0.235975066785	0.974689826303	0.244690674054	0.972534811543	0.182675931355	0.988412826731	0.474137931034	0.995116657623	0.332326283988	0.991753413546	0.390763765542	0.9908816575589999	0.34648157860699996	0.984622553588	0.257514216084	0.969488414774	0.195558297347	0.9769968789740001	0.22230014025199998	0.974111284032	0.139045099024	0.994690265487	0.736178467507	0.988856304985	0.610619469027	0.991764705882	0.667546174142	0.9909710355600001	0.6422335416889999	0.981769276748	0.605194805195	0.981769276748	0.36292834891000003	0.981769276748	0.453748782863	0.9800282104170001	0.429865530708	0.9845559845559999	0.41783216783200006	0.9787159804610001	0.21747042766199998	0.9816272965880001	0.28605625374000004	0.9801567199240001	0.261079300706	0.9846882399369999	0.535	0.9895304568529999	0.35845896147399997	0.9871034100799999	0.42928786359099996	0.9845672666230001	0.34966846811700003
relu	128	True	1	None	0.21617730747194608	mean	False	1234	0.05	2	all	8	6692	189536	Adagrad	0.2	classification	True	True	1234	cells	False	123456	False	1234	True	10630.815084695816	0.995916657942	0.5954156310409999	0.9904206580589999	0.528949950932	0.993161054555	0.560218266857	0.990501415792	0.399168036557	0.995927457843	0.760563380282	0.9928317685870001	0.7076366922730001	0.9943772038500001	0.7331460674160001	0.98961364246	0.51596229357	0.9766341319140001	0.450203252033	0.995177817963	0.30871080139400003	0.985818778922	0.366267052501	0.984335511122	0.316187965033	0.978675645342	0.27427184466	0.986053524312	0.20124666073	0.9823507322570001	0.23215202876200003	0.980870837978	0.179609454913	0.9875379939210001	0.498850574713	0.993577981651	0.327794561934	0.9905487804880001	0.395624430264	0.989548906303	0.356459899226	0.986756686575	0.26071741032400003	0.979381443299	0.18383713756900003	0.983055232182	0.21562952243099998	0.980901433243	0.136511323809	0.995302013423	0.739811912226	0.990647962592	0.569589702333	0.99296953465	0.643636363636	0.9922996470829999	0.620483697786	0.982148871674	0.5830115830120001	0.9854680635349999	0.352803738318	0.9838056680159999	0.439592430859	0.98226260031	0.413319549992	0.983877310263	0.424015009381	0.983877310263	0.20564149226599998	0.983877310263	0.276960784314	0.982579677652	0.25623139420200003	0.9935368043089999	0.547429398986	0.9885673454809999	0.316582914573	0.991045845272	0.401167418413	0.98930400092	0.33298080723
relu	128	True	1	None	0.21617730747194608	mean	False	1234	0.05	3	all	8	6692	189536	Adagrad	0.3	classification	True	True	1234	cells	False	123456	False	1234	True	10643.672222137453	0.9929345266130001	0.570642660665	0.995748700992	0.559862610402	0.994339622642	0.5652012383899999	0.992108379291	0.392905097403	0.996289019865	0.74550248139	0.995419847328	0.724054827534	0.995854243945	0.734622144112	0.992336918089	0.508775672368	0.9867482161059999	0.48746867167900004	0.9911262798630001	0.271080139373	0.98893240252	0.348410210479	0.987737555456	0.312926867929	0.985017123288	0.294366197183	0.98459563543	0.18610863757800003	0.9848063342610001	0.228041462084	0.9835214092260001	0.183098159675	0.995092884683	0.534306569343	0.9909249563700001	0.276435045317	0.993004547044	0.364360378298	0.992265246505	0.341578368764	0.99377593361	0.287686996548	0.982420158219	0.154225786552	0.988065419184	0.20080321285100003	0.986555914763	0.139452291473	0.99472693032	0.7449088960340001	0.993604213695	0.559131134352	0.994165255035	0.638786764706	0.9935970453990001	0.616882503915	0.994131455399	0.6578125	0.981839258114	0.32788161993799997	0.987947122862	0.43762993763	0.986827914863	0.429876828794	0.982849604222	0.386666666667	0.992010652463	0.21110100090999998	0.987408880053	0.273101824603	0.986390156274	0.243172935026	0.9950627442910001	0.529986052999	0.989161554192	0.318257956449	0.992103374013	0.397697540555	0.990568384227	0.3243855597
relu	128	True	1	None	0.21617730747194608	mean	False	1234	0.05	4	all	8	6692	189536	Adagrad	0.4	classification	True	True	1234	cells	False	123456	False	1234	True	10630.293960571287	0.9947001394700001	0.586348926155	0.991381706978	0.488959764475	0.993038150933	0.533244147157	0.990328157348	0.37151502269299996	0.9940028718639999	0.7397612210969999	0.996359326052	0.737309835819	0.9951797040170001	0.738533494267	0.991064498233	0.510360704208	0.994386527666	0.49855491329499996	0.988047808765	0.240418118467	0.991207034373	0.324400564175	0.990262731496	0.298583724516	0.989340101523	0.28301886792500003	0.973040439341	0.13357079252	0.981122577397	0.181488203267	0.979579877781	0.14887335723	0.994612515541	0.5621181262730001	0.984009840098	0.208459214502	0.989282769992	0.304132231405	0.988175219917	0.30524121472	0.977687626775	0.268844221106	0.9904109589040001	0.198025909932	0.9840081660430001	0.228063943162	0.981957296184	0.14753830743	0.9960920538429999	0.7178111587980001	0.9960920538429999	0.538213998391	0.9960920538429999	0.615172413793	0.995706829343	0.5911200462030001	0.994157303371	0.629297458894	0.986619090098	0.32788161993799997	0.990373852698	0.431131592422	0.989459151761	0.417872183988	0.9850823045270001	0.377470355731	0.989664082687	0.173794358508	0.987367878319	0.23800623053000003	0.986338042166	0.215932137991	0.9971339861480001	0.546245059289	0.9865311909260001	0.289363484087	0.991804252286	0.378319189707	0.990221997674	0.316269727982
relu	128	True	1	None	0.21617730747194608	mean	False	1234	0.05	5	all	8	6692	189536	Adagrad	0.5	classification	True	True	1234	cells	False	123456	False	1234	True	10624.884110927582	0.996033713436	0.575507962658	0.9970223325059999	0.514229636899	0.996527777778	0.543145892718	0.9951565431370001	0.374890443948	0.997758532858	0.743433395872	0.9971489665000001	0.716222322639	0.997453656549	0.729574223245	0.995265442221	0.501284870854	0.980535279805	0.417300380228	0.996538081108	0.305923344948	0.9884719156239999	0.353035786088	0.987291062606	0.296899287621	0.998145859085	0.260080645161	0.980570734669	0.114870881567	0.9892802450229999	0.159357628166	0.988432020255	0.12767173714500002	0.984278227727	0.45164960181999997	0.9966232513269999	0.299848942598	0.990412272291	0.36041761234700004	0.989397227427	0.316725913851	0.992206726825	0.268456375839	0.994245787094	0.148056755089	0.9932252104289999	0.19085487077500002	0.992358482836	0.125903904457	0.995678011885	0.748564867968	0.995678011885	0.524537409493	0.995678011885	0.616840113529	0.995266595069	0.597954514953	0.991462113127	0.5874635568509999	0.994114499732	0.313862928349	0.9927865348649999	0.40913705583800003	0.992096443366	0.39055226668399995	0.989564149785	0.37094017094000004	0.996291718171	0.19745222929900003	0.992916538343	0.257719714964	0.992337219023	0.227783805644	0.9962931280299999	0.520491803279	0.9931779420129999	0.319095477387	0.994733096085	0.39563862928300003	0.993683566497	0.319542008437
relu	128	True	1	None	0.21617730747194608	mean	False	1234	0.05	6	all	8	6692	189536	Adagrad	0.6	classification	True	True	1234	cells	False	123456	False	1234	True	10628.665761232376	0.9960865087540001	0.5592960979339999	0.998760842627	0.5380274779199999	0.9974218830570001	0.548455670877	0.996399589041	0.37209752042099997	0.997836599644	0.740447122245	0.998090631365	0.703419189637	0.9979635993379999	0.721458365518	0.996213846006	0.48963583369400004	0.991437308869	0.418918918919	0.997538461538	0.237630662021	0.9944785276070001	0.303245887061	0.9938995332080001	0.260160032569	0.993925588459	0.258979206049	0.989417989418	0.12199465716800001	0.9916666666670001	0.165859564165	0.99096752184	0.13120650147500001	0.996387718242	0.467980295567	0.992206235012	0.21525679758299998	0.994292580354	0.294878427315	0.993681007975	0.272891947648	0.997399895996	0.247663551402	0.9932677369239999	0.0980876002468	0.995329527763	0.140521431728	0.994739210859	0.09147259359780001	0.995302013423	0.7060849598160001	0.996639784946	0.49477071601000006	0.995970449966	0.58183538316	0.9955839723919999	0.559536246738	0.997997329773	0.632478632479	0.9907223326710001	0.288161993769	0.9943465247759999	0.395933654361	0.993811269158	0.391852212115	0.9945525291830001	0.348375451264	0.9937791601870001	0.175614194722	0.9941656942820001	0.233514821537	0.9936888499459999	0.204402063785	0.9975	0.476474486415	0.992890152862	0.301088777219	0.995189738108	0.369001796254	0.9942377897700001	0.284418325504
relu	128	True	1	None	0.21617730747194608	mean	False	1234	0.05	7	all	8	6692	189536	Adagrad	0.7	classification	True	True	1234	cells	False	123456	False	1234	True	10617.58845949173	0.996358543417	0.540357529794	0.996917040359	0.489450441609	0.996637713645	0.513645726056	0.995322865001	0.332321000949	0.9959548289229999	0.710027492403	0.99949255751	0.7391173369480001	0.9977205571969999	0.724280442804	0.995738857974	0.47401593257799995	0.996680497925	0.339597315436	0.996680497925	0.176306620209	0.996680497925	0.232110091743	0.996329466771	0.18633299829	0.9989888776540001	0.24786324786299999	0.9989888776540001	0.103294746215	0.9989888776540001	0.145820238843	0.998903524291	0.115532722079	0.998377939984	0.428571428571	0.9911433172299999	0.174471299094	0.9947474747470001	0.24798711755199998	0.9941960303290001	0.229153906533	0.9979123173280001	0.23930481283399999	0.997218358832	0.110425663171	0.9975652173909999	0.15111861545	0.997257534026	0.09292593748880001	0.996460176991	0.6772151898729999	0.993821712268	0.430410297667	0.995139195758	0.526315789474	0.994666580984	0.506484268211	0.994006849315	0.525773195876	0.998280309544	0.27803738317800003	0.996138996139	0.36372898624600003	0.9957600685700001	0.34025522825000004	0.9917864476389999	0.31317829457400004	0.997933884298	0.183803457689	0.994850669413	0.23165137614700002	0.994432361078	0.192559908143	0.997674418605	0.441416893733	0.9953596287700001	0.27135678391999996	0.996515679443	0.336099585062	0.995813185071	0.248257012527
relu	128	True	1	None	0.21617730747194608	mean	False	1234	0.05	8	all	8	6692	189536	Adagrad	0.8	classification	True	True	1234	cells	False	123456	False	1234	True	10628.79209971428	0.9979440789470001	0.544613548195	0.9979440789470001	0.447742885182	0.9979440789470001	0.49145011444700004	0.997124406816	0.316823358856	1.0	0.7246635317010001	0.9994875736609999	0.673143545715	0.999743721169	0.697954084023	0.999519872292	0.452265002299	0.991494532199	0.288241415193	0.9987760097920001	0.193031358885	0.9951219512200001	0.23121869783000004	0.99460332969	0.167444673541	1.0	0.230952380952	0.998514115899	0.086375779163	0.9992565055760001	0.125729099157	0.9991923031829999	0.09831845889110001	0.99880239521	0.41047297297300006	0.996415770609	0.183534743202	0.997607655502	0.253653444676	0.9973495655429999	0.22764161035	1.0	0.236301369863	0.9958805355299999	0.08513263417639999	0.9979360165119999	0.125170068027	0.997673717611	0.07965843909419999	0.996235884567	0.602325581395	0.996235884567	0.416733708769	0.996235884567	0.49262957679499997	0.995845716795	0.462557106551	0.9974715549940001	0.548262548263	0.996212121212	0.221183800623	0.996841440303	0.315205327414	0.996522824235	0.310696332758	1.0	0.287128712871	1.0	0.184713375796	1.0	0.22480620155	1.0	0.179751906054	0.998614958449	0.41768511861999996	0.996544574983	0.243299832496	0.997578692494	0.30748875363899997	0.997080009447	0.22002800737300002
relu	128	True	1	None	0.21617730747194608	mean	False	1234	0.05	9	all	8	6692	189536	Adagrad	0.9	classification	True	True	1234	cells	False	123456	False	1234	True	10626.458141088486	1.0	0.518612952575	0.997542997543	0.499018645731	0.9987699876999999	0.5086271567890001	0.998282784208	0.316645016625	1.0	0.69928081619	0.997379454927	0.6297635186020001	0.998688008397	0.662704073546	0.997551279147	0.396882590393	1.0	0.243939393939	1.0	0.112195121951	1.0	0.15369928401	1.0	0.104769576852	1.0	0.166666666667	0.996845425868	0.0320569902048	0.998420221169	0.0537714712472	0.998297277552	0.040389580232599996	1.0	0.27358490566	1.0	0.131419939577	1.0	0.17755102040800003	1.0	0.134401507849	1.0	0.20275862069000003	0.993902439024	0.09068476249230001	0.9969418960240001	0.125319693095	0.996554290751	0.0647544997757	0.997382198953	0.444444444444	1.0	0.279967819791	0.9986893840100001	0.34353405725599995	0.9985600937989999	0.30516135875399997	1.0	0.451143451143	1.0	0.169003115265	1.0	0.245892351275	1.0	0.235588042292	1.0	0.312039312039	0.994366197183	0.115559599636	0.997175141243	0.168658698539	0.9969221480920001	0.150906546582	1.0	0.359154929577	1.0	0.21356783919599998	1.0	0.267857142857	1.0	0.170410955878
