activation	batch_size	compound_weighting	concurrent_perm	data_transform	dropout	imputation_method	impute_labels	impute_seed	learning_rate	model_suffix	multitask_strategy	num_layers	num_neurons	num_steps	optimizer	percent_to_delete	prediction_mode	read_parameters	remove_labels	remove_seed	remove_type	restore_network	seed	shuffle_labels	shuffle_seed	target_weighting	Time	1814_precision_Train	1814_precision_Test	1814_recall_Train	1814_recall_Test	1814_fscore_Train	1814_fscore_Test	1814_mcc_Train	1814_mcc_Test	2314_precision_Train	2314_precision_Test	2314_recall_Train	2314_recall_Test	2314_fscore_Train	2314_fscore_Test	2314_mcc_Train	2314_mcc_Test	2796_precision_Train	2796_precision_Test	2796_recall_Train	2796_recall_Test	2796_fscore_Train	2796_fscore_Test	2796_mcc_Train	2796_mcc_Test	463190_precision_Train	463190_precision_Test	463190_recall_Train	463190_recall_Test	463190_fscore_Train	463190_fscore_Test	463190_mcc_Train	463190_mcc_Test	485346_precision_Train	485346_precision_Test	485346_recall_Train	485346_recall_Test	485346_fscore_Train	485346_fscore_Test	485346_mcc_Train	485346_mcc_Test	504652_precision_Train	504652_precision_Test	504652_recall_Train	504652_recall_Test	504652_fscore_Train	504652_fscore_Test	504652_mcc_Train	504652_mcc_Test	588726_precision_Train	588726_precision_Test	588726_recall_Train	588726_recall_Test	588726_fscore_Train	588726_fscore_Test	588726_mcc_Train	588726_mcc_Test	652054_precision_Train	652054_precision_Test	652054_recall_Train	652054_recall_Test	652054_fscore_Train	652054_fscore_Test	652054_mcc_Train	652054_mcc_Test	687014_precision_Train	687014_precision_Test	687014_recall_Train	687014_recall_Test	687014_fscore_Train	687014_fscore_Test	687014_mcc_Train	687014_mcc_Test	743279_precision_Train	743279_precision_Test	743279_recall_Train	743279_recall_Test	743279_fscore_Train	743279_fscore_Test	743279_mcc_Train	743279_mcc_Test
relu	64	True	1	None	0.1131695915296716	mean	False	1234	0.05	0	all	6	8086	215474	Adagrad	0.0	classification	True	True	1234	cells	False	123456	False	1234	True	10947.976046562197	0.9986688851909999	0.623877917415	0.9973413094050001	0.511530912659	0.998004655803	0.5621461310329999	0.9972218197660001	0.413418821414	0.9987798678190001	0.750110570544	0.998932221488	0.766380478988	0.998856038844	0.7581582476530001	0.9978778092380001	0.54226288117	0.996142719383	0.486462093863	0.999274486094	0.375609756098	0.9977061451170001	0.42390876917	0.997461075487	0.372093414255	0.999698249849	0.384769539078	0.996091401082	0.170970614426	0.997891566265	0.23674475955600002	0.997715587497	0.21623770881700002	0.997810751642	0.551643192488	0.9987825663500001	0.35498489426	0.9982964224869999	0.43198529411799996	0.998115032039	0.398380470631	0.997933884298	0.316425120773	0.995670995671	0.161628624306	0.9968011557109999	0.213964883626	0.9963921750299999	0.158398780277	0.999735589635	0.765978367748	0.997362173569	0.626709573612	0.9985474712799999	0.6893805309729999	0.998406868758	0.666802468674	0.996543472481	0.559662090813	0.9992002132760001	0.41277258567	0.9978700745469999	0.475123263111	0.9976655509929999	0.43745122384900004	0.9950402975820001	0.43986254295500005	0.9965849115180001	0.232939035487	0.9958120055840001	0.304580606782	0.9954701117550001	0.280490045592	0.997304199773	0.5212539851219999	0.9977288857350001	0.410804020101	0.997516497552	0.459484777518	0.997025267445	0.369179985278
relu	64	True	1	None	0.1131695915296716	mean	False	1234	0.05	1	all	6	8086	215474	Adagrad	0.1	classification	True	True	1234	cells	False	123456	False	1234	True	10937.779673337936	0.998797075969	0.616079230993	0.998058252427	0.5188910696760001	0.998427527518	0.5633240111869999	0.997811025375	0.411044092081	0.998930541484	0.741986488429	0.999324286277	0.777526735954	0.999127375088	0.759340982642	0.9983825180329999	0.539776548645	0.997568224804	0.512299465241	0.9981075966480001	0.333797909408	0.9978378378380001	0.404219409283	0.997607845364	0.36233571021	0.9996666666670001	0.403883495146	0.996676636756	0.185218165628	0.9981694125480001	0.253968253968	0.9980150491550001	0.233543554181	0.9981029810299998	0.545796737767	0.999186109604	0.328549848943	0.998644251627	0.41018387553	0.998500426276	0.3796149259	0.9988513668729999	0.29312424608000004	0.997476485432	0.149907464528	0.998163452709	0.19836734693900002	0.997928535988	0.140258241406	1.0	0.761616161616	0.997653958944	0.60659694288	0.998825601879	0.675324675325	0.998712292183	0.652995193183	0.996125186289	0.564876957494	0.998804542738	0.39330218068499995	0.9974630652140001	0.46372819100100005	0.9972215066310001	0.428900587162	0.9986038394419999	0.445065176909	0.998255408234	0.21747042766199998	0.998429593439	0.29217603911999995	0.9983030983050001	0.272844427602	0.9982550761419999	0.5247084952800001	0.9982550761419999	0.395728643216	0.9982550761419999	0.451181666269	0.997912364985	0.363487739118
relu	64	True	1	None	0.1131695915296716	mean	False	1234	0.05	2	all	6	8086	215474	Adagrad	0.2	classification	True	True	1234	cells	False	123456	False	1234	True	10987.693318128586	0.999166927002	0.609657947686	0.999062890462	0.520363101079	0.999114906024	0.561482461946	0.998768443608	0.406592539976	0.999428789033	0.750917992656	0.998921593504	0.739267962042	0.999175126904	0.7450474383300001	0.9984741260590001	0.5251687623969999	0.998794454491	0.500552486188	0.998794454491	0.315679442509	0.998794454491	0.387179487179	0.998665163651	0.345906675021	0.9996217851739999	0.360248447205	0.9962306822470001	0.154942119323	0.997923352841	0.216687422167	0.9977509917149999	0.19557034320900002	0.9981673793520001	0.519818799547	0.9993883792049999	0.34667673715999997	0.998777506112	0.415949252379	0.9986480243160001	0.377854807048	0.998711340206	0.295039164491	0.998711340206	0.139420111043	0.998711340206	0.18935902806899998	0.9985461765289999	0.135945216383	0.9996653279790001	0.761316872428	0.997661990648	0.59533386967	0.998662654631	0.668171557562	0.9985350199840001	0.646305008534	0.9986486486489999	0.587454764777	0.998986143968	0.379283489097	0.998817367799	0.460955986749	0.998704763228	0.431611251207	0.9996061441509999	0.440239043825	0.9980338183249999	0.201091901729	0.998819362456	0.276077451593	0.9987247809190001	0.26000922679099997	0.9991060253890001	0.542266750157	0.9982136477310001	0.36264656616400004	0.998659637208	0.43462986198200004	0.9983977297650001	0.35621331891
relu	64	True	1	None	0.1131695915296716	mean	False	1234	0.05	3	all	6	8086	215474	Adagrad	0.3	classification	True	True	1234	cells	False	123456	False	1234	True	10988.392617940905	0.9989373007439999	0.612418485965	0.9990552668870001	0.529931305201	0.9989962803329999	0.568196764435	0.9986010359890001	0.413811223976	0.998765342436	0.730960147497	0.999781897492	0.776321735201	0.9992733614299999	0.752958363769	0.998656176781	0.525046162738	0.9986315429350001	0.536096256684	0.9962457337880001	0.279442508711	0.997437211686	0.367384333486	0.9971617679100001	0.340441561802	0.999143835616	0.36491228070200005	0.9987163029530001	0.185218165628	0.998930023539	0.24571766095699998	0.998839560898	0.216664503323	0.998953610045	0.5317769131	0.99965095986	0.30966767371599996	0.999302163294	0.39140811455799995	0.999228020744	0.36145893270999996	0.9976615024850001	0.28861330326900003	1.0	0.157927205429	0.998829382499	0.20414673046300003	0.9986789807909999	0.14173597601399998	1.0	0.7632432432430001	0.9984951091050001	0.567980691874	0.9992469879520001	0.651291512915	0.999173988477	0.63116957086	0.998456194519	0.6105527638189999	0.9996136012360001	0.378504672897	0.999034562657	0.467307692308	0.998942596215	0.442037943822	0.9991095280500001	0.43735224586300003	0.996005326232	0.16833484986400002	0.997555012225	0.243101182654	0.9973575273370001	0.236098132953	0.995314728051	0.46726057906499996	0.9991820040899999	0.43927973199299997	0.997244616798	0.45283833369300003	0.9967063378450001	0.346740682404
relu	64	True	1	None	0.1131695915296716	mean	False	1234	0.05	4	all	6	8086	215474	Adagrad	0.4	classification	True	True	1234	cells	False	123456	False	1234	True	10989.738483190536	0.999166203446	0.611291752882	0.9994439810950001	0.507360157017	0.999305072967	0.5544979219730001	0.999033632815	0.401182729698	0.999407482648	0.7293426893889999	0.999661332656	0.7671336044589999	0.999534391534	0.747760974894	0.999137464914	0.51686467589	0.9980103462000001	0.490010515247	0.999203187251	0.324738675958	0.998606410512	0.39061190276600005	0.998455346752	0.34583336232600004	0.9990004997499999	0.357630979499	0.9980029955069999	0.139804096171	0.998501498501	0.20102432778499998	0.998374961193	0.184419705555	0.998771498771	0.49657534246600005	1.0	0.328549848943	0.99938537185	0.39545454545500003	0.9993206633439999	0.35576123553499994	0.998973657202	0.307042253521	1.0	0.134484885873	0.999486565121	0.187044187044	0.999420491805	0.139268332239	0.9995655951350001	0.7416666666670001	0.9991315675210001	0.5728077232500001	0.9993485342020001	0.646391284612	0.9992843599299999	0.6232926927269999	1.0	0.590849673203	1.0	0.352024922118	1.0	0.441190824793	1.0	0.416453513713	0.9994832041339999	0.406196213425	0.9994832041339999	0.21474067333900002	0.9994832041339999	0.280952380952	0.99944105095	0.254218892683	0.9997632575759999	0.5372191011240001	0.9978733459360001	0.320351758794	0.9988174077580001	0.40136411332599997	0.9985855978270001	0.329580956904
relu	64	True	1	None	0.1131695915296716	mean	False	1234	0.05	5	all	6	8086	215474	Adagrad	0.5	classification	True	True	1234	cells	False	123456	False	1234	True	10985.829472780228	0.999338733675	0.5810287610620001	1.0	0.515456329735	0.9996692574830001	0.5462818512740001	0.9995387558959999	0.380220724581	0.99979635475	0.742612157403	0.99979635475	0.730531706582	0.99979635475	0.736522399393	0.9996212387360001	0.509456532853	0.9970370370370001	0.511679644049	0.9985163204749999	0.32055749128899996	0.997776130467	0.394173093402	0.9975429356029999	0.354276935293	1.0	0.318548387097	0.999392835458	0.140694568121	0.999696325539	0.19518221124200003	0.999670816697	0.168884812855	0.999517607332	0.5112285336860001	0.999517607332	0.292296072508	0.999517607332	0.371936568957	0.99946570781	0.341208165136	0.9983566146259999	0.295081967213	0.998766954377	0.144355336212	0.9985617423459999	0.193869096935	0.998377795867	0.138492070907	0.998920086393	0.738317757009	0.999459751486	0.5720032180210001	0.9991898460709999	0.644605621034	0.99911274714	0.621140763468	0.999464094319	0.640650406504	0.997859818085	0.306853582555	0.9986613119140001	0.4149552396	0.998533733027	0.408278708659	0.998764669549	0.39249146757700004	0.999381953028	0.20928116469500002	0.999073215941	0.272997032641	0.998996856205	0.244717773826	0.998863313441	0.486961149548	0.999147242752	0.383165829146	0.999005257922	0.428872744317	0.998806312725	0.333045268048
relu	64	True	1	None	0.1131695915296716	mean	False	1234	0.05	6	all	6	8086	215474	Adagrad	0.6	classification	True	True	1234	cells	False	123456	False	1234	True	10977.94534945488	1.0	0.582124201973	0.999173895085	0.492149165849	0.9995867768600001	0.533368784898	0.9994232101270001	0.369606206784	0.9996182720450001	0.7325115104709999	1.0	0.742882964302	0.999809099586	0.7376607837270001	0.999645111605	0.50500832804	0.9975445058319999	0.450145208132	1.0	0.324041811847	0.9987707437000001	0.376823338736	0.998641754023	0.3245121553	1.0	0.31224489795899996	0.999244142101	0.13624220837	0.9996219281659999	0.189708617483	0.999590090838	0.163408232401	1.0	0.484438430311	1.0	0.270392749245	1.0	0.347067377605	1.0	0.31531681238000003	0.99948213361	0.301470588235	0.99948213361	0.12646514497199998	0.99948213361	0.17818339852200002	0.9994162227210001	0.132214428739	1.0	0.738015607581	0.999327956989	0.532582461786	0.999663865546	0.618691588785	0.999631707531	0.597713860819	1.0	0.585333333333	1.0	0.341900311526	1.0	0.431661750246	1.0	0.40757922773500005	1.0	0.38112522685999994	0.9976671850700002	0.191082802548	0.99883223044	0.254545454545	0.998737646939	0.228447739704	0.9992892679459999	0.507217847769	0.9996445076430001	0.323701842546	0.9994668562289999	0.39519427402900004	0.9993606278239999	0.31449090898000004
relu	64	True	1	None	0.1131695915296716	mean	False	1234	0.05	7	all	6	8086	215474	Adagrad	0.7	classification	True	True	1234	cells	False	123456	False	1234	True	11014.546820878984	0.9997198094700002	0.567193675889	1.0	0.49288518155100003	0.999859885106	0.527435022316	0.9998051185819999	0.357384259652	1.0	0.745889864326	0.999661705007	0.703871064919	0.9998308238879999	0.724271543707	0.9996839230760001	0.49639314528899997	1.0	0.427284427284	0.999170124481	0.231358885017	0.9995848899959999	0.30018083182599997	0.999541118321	0.260505412858	1.0	0.30090497737599997	1.0	0.118432769368	1.0	0.169968051118	1.0	0.147396913154	1.0	0.469719350074	1.0	0.240181268882	1.0	0.31784107946	1.0	0.28978353215	0.999304105776	0.281428571429	0.9986091794159999	0.121529919803	0.998956521739	0.1697544162	0.9988247012970001	0.11989442459899999	1.0	0.716384180791	1.0	0.510056315366	1.0	0.595864661654	1.0	0.573705059606	0.9974271012010001	0.554987212276	1.0	0.33800623053	0.998711893517	0.42013552759000006	0.99858567284	0.39113689713	1.0	0.365217391304	0.997933884298	0.152866242038	0.998965873837	0.21552277100699999	0.998881753409	0.19714962300799999	0.999536178108	0.476394849785	1.0	0.325376884422	0.999768035259	0.38666334909199995	0.9997211632200002	0.297044548321
relu	64	True	1	None	0.1131695915296716	mean	False	1234	0.05	8	all	6	8086	215474	Adagrad	0.8	classification	True	True	1234	cells	False	123456	False	1234	True	10912.158185958862	1.0	0.550654524758	1.0	0.474730127576	1.0	0.5098814229249999	1.0	0.334550266098	1.0	0.7207860922149999	1.0	0.7181804488629999	1.0	0.719480911423	1.0	0.474751072232	0.998777506112	0.393288590604	1.0	0.20418118466899998	0.9993883792049999	0.26880733945	0.999322780094	0.22824448576900003	1.0	0.24945295404800003	1.0	0.101513802315	1.0	0.144303797468	1.0	0.115195349839	1.0	0.424960505529	1.0	0.203172205438	1.0	0.274910577414	1.0	0.246508406454	1.0	0.280291970803	1.0	0.118445404072	1.0	0.166522116219	1.0	0.117732606019	1.0	0.706918238994	1.0	0.45213193885799996	1.0	0.551521099117	1.0	0.533770711614	1.0	0.593167701863	1.0	0.297507788162	1.0	0.39626556016599995	1.0	0.382156790042	1.0	0.340619307832	1.0	0.170154686078	1.0	0.226941747573	1.0	0.197620101678	1.0	0.458908612755	0.9993089149969999	0.29229480737	0.999654338057	0.35712458429300004	0.99958306268	0.269419290795
relu	64	True	1	None	0.1131695915296716	mean	False	1234	0.05	9	all	6	8086	215474	Adagrad	0.9	classification	True	True	1234	cells	False	123456	False	1234	True	10866.91515493393	1.0	0.540556033247	1.0	0.462708537782	1.0	0.498612029081	1.0	0.320236628091	1.0	0.705202312139	1.0	0.6799216749510001	1.0	0.6923312883439999	1.0	0.43231882382200004	1.0	0.32814710042399997	1.0	0.16167247386800002	1.0	0.216619981326	1.0	0.172568467431	1.0	0.25081433224800004	1.0	0.0685663401603	1.0	0.10769230769200001	1.0	0.0946556820332	1.0	0.367567567568	1.0	0.154078549849	1.0	0.21713677488000002	1.0	0.19035845899300002	1.0	0.239024390244	1.0	0.09068476249230001	1.0	0.131484794275	1.0	0.0836600597401	1.0	0.681137724551	1.0	0.366049879324	1.0	0.47619047618999993	1.0	0.466719613659	1.0	0.519345238095	1.0	0.271806853583	1.0	0.356850715746	1.0	0.333414411566	1.0	0.311387900356	1.0	0.15923566879	1.0	0.21071643588199998	1.0	0.177837050872	1.0	0.394437420986	1.0	0.261306532663	1.0	0.31435768261999997	1.0	0.21441146994000002
